Date ,South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)"
6/1/2012,125.0,225.0,9.444444444444445,10.971844444444445,25.555555555555554,19.455955555555555,261.25,26.11111111111111,7.222222222222222
6/2/2012,123.0,225.0,8.88888888888889,10.67928888888889,27.77777777777778,20.626177777777777,261.25,26.666666666666664,7.222222222222222
6/3/2012,121.0,225.0,9.444444444444445,10.971844444444445,28.333333333333332,20.918733333333332,261.25,28.88888888888889,11.666666666666666
6/4/2012,125.0,225.0,10.555555555555555,11.556955555555554,28.333333333333332,20.918733333333332,245.1,28.88888888888889,11.666666666666666
6/5/2012,130.0,225.0,10.0,11.2644,24.444444444444443,18.870844444444444,216.6791667,27.77777777777778,13.88888888888889
6/6/2012,128.0,225.0,11.11111111111111,11.84951111111111,28.333333333333332,20.918733333333332,231.4833333,26.666666666666664,8.88888888888889
6/7/2012,124.0,225.0,12.222222222222221,12.43462222222222,28.333333333333332,20.918733333333332,265.05,24.444444444444443,11.11111111111111
6/8/2012,122.0,171.0,13.88888888888889,13.312288888888888,30.555555555555554,22.088955555555554,261.725,31.11111111111111,6.666666666666666
6/9/2012,115.0,157.0,9.444444444444445,10.971844444444445,31.11111111111111,22.38151111111111,256.5791667,33.333333333333336,8.333333333333334
6/10/2012,107.0,200.0,3.333333333333333,7.753733333333333,25.555555555555554,19.455955555555555,285.95,22.22222222222222,1.1111111111111112
6/11/2012,102.0,200.0,5.0,8.6314,25.0,19.1634,305.3458333,25.0,1.1111111111111112
6/12/2012,94.3,200.0,5.555555555555555,8.923955555555555,27.22222222222222,20.33362222222222,332.5,27.77777777777778,7.777777777777778
6/13/2012,93.0,199.0,7.777777777777778,10.094177777777777,31.666666666666664,22.674066666666665,332.5,31.11111111111111,7.777777777777778
6/14/2012,90.6,198.0,10.555555555555555,11.556955555555554,28.333333333333332,20.918733333333332,332.5,28.333333333333332,9.444444444444445
6/15/2012,93.5,198.0,11.666666666666666,12.142066666666665,27.77777777777778,20.626177777777777,332.5,28.333333333333332,11.11111111111111
6/16/2012,98.5,198.0,9.444444444444445,10.971844444444445,24.444444444444443,18.870844444444444,326.8,23.88888888888889,11.666666666666666
6/17/2012,98.8,198.0,13.333333333333332,13.019733333333331,33.333333333333336,23.551733333333335,326.8,33.888888888888886,10.0
6/18/2012,98.7,198.0,13.333333333333332,13.019733333333331,33.888888888888886,23.844288888888887,332.5,36.11111111111111,8.88888888888889
6/19/2012,96.1,199.0,11.666666666666666,12.142066666666665,34.44444444444444,24.136844444444442,336.6166667,33.888888888888886,8.333333333333334
6/20/2012,96.7,200.0,12.222222222222221,12.43462222222222,21.666666666666668,17.408066666666667,357.5166667,21.11111111111111,7.777777777777778
6/21/2012,90.7,200.0,12.222222222222221,12.43462222222222,27.77777777777778,20.626177777777777,359.1,28.88888888888889,9.444444444444445
6/22/2012,86.0,200.0,13.333333333333332,13.019733333333331,34.44444444444444,24.136844444444442,361.0,36.666666666666664,9.444444444444445
6/23/2012,86.2,200.0,13.88888888888889,13.312288888888888,35.55555555555556,24.721955555555557,361.0,37.22222222222222,14.444444444444445
6/24/2012,87.2,200.0,12.777777777777777,12.727177777777776,34.44444444444444,24.136844444444442,361.0,35.55555555555556,13.333333333333332
6/25/2012,87.0,258.0,14.444444444444445,13.604844444444444,34.44444444444444,24.136844444444442,322.40625,37.77777777777778,13.88888888888889
6/26/2012,84.6,302.0,14.444444444444445,13.604844444444444,35.0,24.429399999999998,266.0,37.22222222222222,11.666666666666666
