Date ,South Platte Above Cheesman (cfs),South Platte Above Cheesman (AF),South Platte Below Cheesman Downstream (cfs) ,South Platte Below Cheesman Downstream (AF) ,"Temperature, CS, Low","Temperature, CS, high",Roberts Tunnel (cfs),Roberts Tunnel (AF),"Temp, H, SS","Temp, L, SS"
6/1/2012,125,247.9375,225,446.2875,49,78,261.25,518.189375,79,45
6/2/2012,123,243.9705,225,446.2875,48,82,261.25,518.189375,80,45
6/3/2012,121,240.0035,225,446.2875,49,83,261.25,518.189375,84,53
6/4/2012,125,247.9375,225,446.2875,51,83,245.1,486.15585,84,53
6/5/2012,130,257.855,225,446.2875,50,76,216.6791667,429.7831271,82,57
6/6/2012,128,253.888,225,446.2875,52,83,231.4833333,459.1471916,80,48
6/7/2012,124,245.954,225,446.2875,54,83,265.05,525.726675,76,52
6/8/2012,122,241.987,171,339.1785,57,87,261.725,519.1315375,88,44
6/9/2012,115,228.1025,157,311.4095,49,88,256.5791667,508.9247771,92,47
6/10/2012,107,212.2345,200,396.7,38,78,285.95,567.181825,72,34
6/11/2012,102,202.317,200,396.7,41,77,305.3458333,605.6534604,77,34
6/12/2012,94.3,187.04405,200,396.7,42,81,332.5,659.51375,82,46
6/13/2012,93,184.4655,199,394.7165,46,89,332.5,659.51375,88,46
6/14/2012,90.6,179.7051,198,392.733,51,83,332.5,659.51375,83,49
6/15/2012,93.5,185.45725,198,392.733,53,82,332.5,659.51375,83,52
6/16/2012,98.5,195.37475,198,392.733,49,76,326.8,648.2078,75,53
6/17/2012,98.8,195.9698,198,392.733,56,92,326.8,648.2078,93,50
6/18/2012,98.7,195.77145,198,392.733,56,93,332.5,659.51375,97,48
6/19/2012,96.1,190.61435,199,394.7165,53,94,336.6166667,667.6791584,93,47
6/20/2012,96.7,191.80445,200,396.7,54,71,357.5166667,709.1343084,70,46
6/21/2012,90.7,179.90345,200,396.7,54,82,359.1,712.27485,84,49
6/22/2012,86,170.581,200,396.7,56,94,361,716.0435,98,49
6/23/2012,86.2,170.9777,200,396.7,57,96,361,716.0435,99,58
6/24/2012,87.2,172.9612,200,396.7,55,94,361,716.0435,96,56
6/25/2012,87,172.5645,258,511.743,58,94,322.40625,639.4927969,100,57
6/26/2012,84.6,167.8041,302,599.017,58,95,266,527.611,99,53
6/27/2012,86.5,171.57275,302,599.017,57,87,266.95,529.495325,89,55
6/28/2012,87.8,174.1513,283,561.3305,53,89,284.40625,564.1197969,91,57
6/29/2012,88.9,176.33315,279,553.3965,54,89,313.5,621.82725,91,57
6/30/2012,89.3,177.12655,279,553.3965,57,90,321.0604167,636.8233365,92,58
7/1/2012,90.1,178.71335,290,575.215,58,92,343.1875,680.7124063,95,63
7/2/2012,92,182.482,300,595.05,59,92,355.3,704.73755,93,63
7/3/2012,115,228.1025,308,610.918,53,89,355.3,704.73755,91,56
7/4/2012,152,301.492,308,610.918,56,91,355.3,704.73755,90,58
7/5/2012,158,313.393,323,640.6705,58,89,362.425,718.8699875,92,53
7/6/2012,163,323.3105,335,664.4725,55,81,378.93125,751.6101344,82,55
7/7/2012,217,430.4195,274,543.479,55,75,322.4458333,639.5713104,77,56
7/8/2012,210,416.535,180,357.03,55,73,148.3583333,294.2687541,72,55
7/9/2012,236,468.106,121,240.0035,53,75,35.15,69.720025,77,53
7/10/2012,229,454.2215,166,329.261,54,81,88.70625,175.9488469,81,53
7/11/2012,224,444.304,229,454.2215,53,85,209,414.5515,87,55
7/12/2012,223,442.3205,266,527.611,52,87,288.91875,573.0703406,88,58
7/13/2012,225,446.2875,276,547.446,55,88,346.275,686.8364625,91,56
7/14/2012,223,442.3205,276,547.446,57,86,351.5,697.20025,91,57
7/15/2012,224,444.304,277,549.4295,54,88,354.35,702.853225,91,57
7/16/2012,221,438.3535,310,614.885,54,86,353.4,700.9689,95,53
7/17/2012,221,438.3535,332,658.522,51,84,334.875,664.2245625,86,56
7/18/2012,229,454.2215,332,658.522,53,88,304,602.984,89,58
7/19/2012,225,446.2875,332,658.522,56,90,304,602.984,93,57
7/20/2012,223,442.3205,332,658.522,56,93,304,602.984,95,54
7/21/2012,223,442.3205,332,658.522,58,91,304,602.984,95,54
7/22/2012,220,436.37,332,658.522,55,90,304,602.984,91,55
7/23/2012,223,442.3205,332,658.522,53,90,304.1583333,603.2980541,92,58
7/24/2012,221,438.3535,317,628.7695,53,89,304.6333333,604.2402166,90,59
7/25/2012,249,493.8915,275,545.4625,54,80,304,602.984,82,54
7/26/2012,237,470.0895,285,565.2975,55,86,304,602.984,88,56
7/27/2012,228,452.238,310,614.885,57,85,304,602.984,91,56
7/28/2012,226,448.271,308,610.918,56,84,304,602.984,86,57
7/29/2012,227,450.2545,265,525.6275,56,88,285.95,567.181825,88,58
7/30/2012,218,432.403,221,438.3535,56,83,261.725,519.1315375,88,58
7/31/2012,266,527.611,222,440.337,58,87,232.275,460.7174625,91,61
8/1/2012,239,474.0565,255,505.7925,56,88,250.4041667,496.6766646,88,53
8/2/2012,230,456.205,276,547.446,49,80,159.5208333,316.4095729,81,56
8/3/2012,232,460.172,253,501.8255,51,86,201.4,399.4769,91,56
8/4/2012,226,448.271,228,452.238,52,80,301.3875,597.8021063,80,51
8/5/2012,221,438.3535,238,472.073,56,88,324.6625,643.9680688,90,58
8/6/2012,218,432.403,257,509.7595,58,87,326.8,648.2078,90,59
8/7/2012,218,432.403,277,549.4295,51,85,332.5,659.51375,86,55
8/8/2012,215,426.4525,290,575.215,51,87,336.8541667,668.1502396,89,52
8/9/2012,211,418.5185,300,595.05,52,90,348.65,691.547275,90,53
8/10/2012,209,414.5515,301,597.0335,55,84,348.65,691.547275,89,54
8/11/2012,208,412.568,300,595.05,50,83,348.65,691.547275,84,47
8/12/2012,205,406.6175,300,595.05,52,83,348.65,691.547275,84,47
8/13/2012,204,404.634,300,595.05,49,83,348.65,691.547275,75,53
8/14/2012,203,402.6505,271,537.5285,49,86,321.7333333,638.1580666,89,54
8/15/2012,195,386.7825,303,601.0005,48,85,255.1541667,506.0982896,87,46
8/16/2012,193,382.8155,408,809.268,48,76,206.7833333,410.1547416,74,48
8/17/2012,193,382.8155,441,874.7235,50,84,167.5166667,332.2693084,83,49
8/18/2012,188,372.898,440,872.74,49,77,169.1,335.40985,76,42
8/19/2012,181,359.0135,438,868.773,49,81,168.15,333.525525,79,44
8/20/2012,174,345.129,438,868.773,46,74,195.58125,387.9354094,79,51
8/21/2012,172,341.162,359,712.0765,47,82,284.2083333,563.7272291,85,54
8/22/2012,171,339.1785,296,587.116,53,84,368.2833333,730.4899916,84,57
8/23/2012,155,307.4425,274,543.479,53,75,387.125,767.8624375,78,56
8/24/2012,150,297.525,225,446.2875,47,80,347.3833333,689.0348416,82,46
8/25/2012,149,295.5415,212,420.502,50,80,328.7,651.97645,78,56
8/26/2012,144,285.624,212,420.502,54,88,329.65,653.860775,89,56
8/27/2012,154,305.459,255,505.7925,55,87,341.9208333,678.1999729,89,56
8/28/2012,150,297.525,282,559.347,55,88,359.1,712.27485,91,62
8/29/2012,147,291.5745,282,559.347,54,87,359.1,712.27485,91,57
8/30/2012,147,291.5745,262,519.677,46,89,359.1,712.27485,88,52
8/31/2012,146,289.591,245,485.9575,48,87,359.1,712.27485,90,55
9/1/2012,140,277.69,244,483.974,50,87,359.1,712.27485,91,54
9/2/2012,104,206.284,244,483.974,55,82,359.1,712.27485,87,56
9/3/2012,97.9,194.18465,244,483.974,47,85,335.5875,665.6378063,85,54
9/4/2012,93.5,185.45725,244,483.974,48,86,307.8,610.5213,85,54
9/5/2012,88.1,174.74635,244,483.974,45,84,307.8,610.5213,84,46
9/6/2012,85.4,169.3909,278,551.413,45,86,278.35,552.107225,87,48
9/7/2012,86.1,170.77935,304,602.984,40,67,210.06875,416.6713656,68,40
9/8/2012,82.6,163.8371,326,646.621,41,79,129.6354167,257.131849,76,43
9/9/2012,80.1,158.87835,376,745.796,42,84,76.475,151.6881625,85,47
9/10/2012,77.5,153.72125,426,844.971,48,85,77.9,154.51465,89,48
9/11/2012,76,150.746,499,989.7665,50,82,78.85,156.398975,84,48
9/12/2012,93.4,185.2589,325,644.6375,47,54,104.6583333,207.5898041,57,46
9/13/2012,100,198.35,165,327.2775,37,66,145.35,288.301725,67,41
9/14/2012,91.9,182.28365,126,249.921,38,73,138.9770833,275.6610447,75,43
9/15/2012,93.7,185.85395,90.5,179.50675,40,81,144.2416667,286.1033459,82,45
9/16/2012,94.2,186.8457,117,232.0695,42,81,181.45,359.906075,82,43
9/17/2012,91,180.4985,178,353.063,38,62,203.3791667,403.4025771,62,41
9/18/2012,90.1,178.71335,205,406.6175,38,77,233.7,463.54395,75,47
9/19/2012,88.2,174.9447,172,341.162,41,77,233.7,463.54395,77,44
9/20/2012,85.2,168.9942,151,299.5085,41,76,233.7,463.54395,76,46
9/21/2012,84.4,167.4074,151,299.5085,40,76,233.7,463.54395,73,40
9/22/2012,83.8,166.2173,175,347.1125,41,80,233.7,463.54395,74,46
9/23/2012,82.4,163.4404,205,406.6175,44,81,234.65,465.428275,83,50
9/24/2012,82.4,163.4404,205,406.6175,40,69,235.6,467.3126,75,44
9/25/2012,84.2,167.0107,148,293.558,39,57,234.65,465.428275,66,44
9/26/2012,85.2,168.9942,99.2,196.7632,39,66,199.5,395.70825,64,44
9/27/2012,86.6,171.7711,99.2,196.7632,37,62,139.65,276.995775,62,42
9/28/2012,85.7,169.98595,99.2,196.7632,37,70,139.65,276.995775,70,42
9/29/2012,85.7,169.98595,99.2,196.7632,42,72,139.65,276.995775,74,46
9/30/2012,85.1,168.79585,99.2,196.7632,43,66,139.65,276.995775,69,42
10/1/2012,83.3,165.22555,99.2,196.7632,37,64,159.9166667,317.1947084,65,41
10/2/2012,81.69135674,162.0348061,99.2,196.7632,36,79,188.1,373.09635,79,36
10/3/2012,80.1137787,158.9056801,95.6,189.6226,32,79,149.1104167,295.7605115,80,34
10/4/2012,78.56666597,155.836982,92.1,182.68035,30,50,141.3916667,280.4503709,47,28
10/5/2012,77.04943022,152.8275448,91.9,182.28365,30,48,218.025,432.4525875,44,30
10/6/2012,75.56149449,149.8762243,92,182.482,26,41,219.45,435.279075,34,26
10/7/2012,74.10229294,146.981898,91.7,181.88695,28,55,215.175,426.7996125,52,27
10/8/2012,72.67127068,144.1434654,91.3,181.09355,30,73,168.625,334.4676875,70,28
10/9/2012,71.26788353,141.359847,91.3,181.09355,30,67,138.225,274.1692875,51,28
10/10/2012,69.89159781,138.6299843,91.2,180.8952,32,74,125.0041667,247.9457646,67,36
10/11/2012,68.54189015,135.9528391,91,180.4985,35,74,94.05,186.548175,65,35
10/12/2012,67.2182473,133.3273935,91.5,181.49025,34,62,65.55,130.018425,68,30
10/13/2012,65.9201659,130.7526491,91.8,182.0853,31,54,57.475,114.0016625,54,33
10/14/2012,64.64715232,128.2276266,92.1,182.68035,32,66,76,150.746,66,36
10/15/2012,63.39872248,125.751366,92.3,183.07705,33,77,97.1375,192.6722313,76,31
10/16/2012,62.17440162,123.3229256,92.3,183.07705,38,75,142.5,282.64875,80,31
10/17/2012,60.97372416,120.9413819,92.4,183.2754,29,58,147.25,292.070375,60,24
10/18/2012,59.79623352,118.6058292,92.4,183.2754,29,64,154.375,306.2028125,65,25
10/19/2012,58.64148192,116.3153794,92.4,183.2754,30,73,155.325,308.0871375,71,37
10/20/2012,57.50903024,114.0691615,92.4,183.2754,39,75,162.45,322.219575,78,40
10/21/2012,56.39844784,111.8663213,92.4,183.2754,32,73,166.25,329.756875,72,30
10/22/2012,55.30931239,109.7060211,92.4,183.2754,31,71,163.875,325.0460625,71,35
10/23/2012,54.24120972,107.5874395,92.4,183.2754,31,70,169.575,336.3520125,76,30
10/24/2012,53.19373365,105.5097707,92.4,183.2754,25,67,166.25,329.756875,52,24
10/25/2012,52.16648586,103.4722247,92.4,183.2754,23,35,149.0708333,295.6819979,35,24
10/26/2012,51.1590757,101.4740267,92.5,183.47375,23,41,123.025,244.0200875,38,19
10/27/2012,50.17112009,99.5144167,92.4,183.2754,25,50,132.05,261.921175,47,19
10/28/2012,49.20224333,97.59264965,92.8,184.0688,28,62,138.7,275.11145,47,28
10/29/2012,48.25207698,95.70799469,93.5,185.45725,30,60,115.54375,229.1810281,63,30
10/30/2012,47.32025971,93.85973513,94.1,186.64735,30,68,87.1625,172.8868188,66,35
10/31/2012,46.40643718,92.04716815,94.1,186.64735,30,68,94.525,187.4903375,69,36
11/1/2012,45.51026188,90.26960444,94.1,186.64735,35,68,104.85625,207.9823719,68,38
11/2/2012,44.63139301,88.52636804,94.1,186.64735,28,55,139.65,276.995775,56,28
11/3/2012,43.76949638,86.81679607,94.1,186.64735,29,59,140.125,277.9379375,59,29
11/4/2012,42.92424421,85.14023839,94.1,186.64735,26,63,139.65,276.995775,62,27
11/5/2012,42.09531509,83.49605748,94.1,186.64735,28,64,139.65,276.995775,65,33
