,Date,"Adjusted TOC, MS above Conf.","Adjusted TP, MS above Conf.","Adjusted turbidity, MS above Conf.","Adjusted TOC, NF Above Conf.","Adjusted TP, NF Above Conf.","Adjusted turbidity, NF Above Conf.","Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia","Adjusted TOC, Upstream Strontia","Adjusted TP, Upstream Strontia","Adjusted turbidity, Upstream Strontia","Adjusted TOC, SP Below Chatfield","Adjusted TP, SP Below Chatfield","Adjusted turbidity, SP Below Chatfield"
0,10/3/2019,3.9,0.015,0.88,2.2,0.0,1.8,2.8,0.0,2.5,2.7,0.012,1.3,3.8,0.019,7.4
1,10/4/2019,3.856276872,0.014042852,0.858138436,2.199746289,0.0,1.80638099,2.750443621,0.000924522,2.475848128,2.668095052,0.011545321,1.3,3.851047916,0.019003806,7.049615899
2,10/5/2019,3.813845495,0.013127312,0.836922748,2.198990904,0.0,1.812484589,2.702975252,0.001808855,2.45192091,2.637577053,0.011096589,1.3,3.899876716,0.019015136,6.712453546
3,10/6/2019,3.772691003,0.012252455,0.816345502,2.197742469,0.0,1.818316964,2.657549998,0.00265389,2.428216927,2.60841518,0.010653984,1.3,3.946535711,0.019033863,6.388264797
4,10/7/2019,3.732798527,0.011417358,0.796399263,2.196009607,0.0,1.823884277,2.614122964,0.003460521,2.40473476,2.580578614,0.010217689,1.3,3.991074217,0.019059856,6.076801507
5,10/8/2019,3.694153197,0.010621096,0.777076599,2.193800942,0.0,1.829192693,2.572649256,0.004229641,2.381472992,2.554036533,0.009787886,1.3,4.033541547,0.019092986,5.77781553
6,10/9/2019,3.656740148,0.009862743,0.758370074,2.191125097,0.0,1.834248377,2.53308398,0.004962144,2.358430203,2.528758116,0.009364756,1.3,4.073987014,0.019133124,5.491058722
7,10/10/2019,3.620544509,0.009141376,0.740272254,2.187990695,0.0,1.839057492,2.495382242,0.005658922,2.335604976,2.504712542,0.008948481,1.3,4.112459933,0.01918014,5.216282938
8,10/11/2019,3.585551413,0.00845607,0.722775707,2.18440636,0.0,1.843626202,2.459499147,0.006320869,2.312995893,2.48186899,0.008539244,1.3,4.149009616,0.019233905,4.953240032
9,10/12/2019,3.551745992,0.007805899,0.705872996,2.180380715,0.0,1.847960672,2.425389801,0.006948877,2.290601534,2.460196638,0.008137226,1.3,4.183685378,0.019294289,4.701681861
10,10/13/2019,3.519113377,0.00718994,0.689556689,2.175922383,0.0,1.852067067,2.393009309,0.007543841,2.268420483,2.439664667,0.007742609,1.3,4.216536533,0.019361164,4.461360277
