SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,SAMPLE_TESTING_LOCATION,ANALYSIS,ANALYSIS_DESCRIPTION,ANALYTE,ANALYTE_REPORTED_NAME,FORMATTED_ENTRY,UNITS
220554,6/19/2012 12:57,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,2.22,ng/L
220554,6/19/2012 12:57,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
220592,6/26/2012 12:19,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.99,ng/L
220592,6/26/2012 12:19,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
221912,7/2/2012 14:40,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,26.69,ng/L
221912,7/2/2012 14:40,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222026,7/10/2012 14:00,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.64,ng/L
222026,7/10/2012 14:00,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222352,7/18/2012 8:40,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,24.63,ng/L
222352,7/18/2012 8:40,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222470,7/25/2012 8:45,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,62.66,ng/L
222470,7/25/2012 8:45,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222471,7/25/2012 8:50,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.07,ng/L
222471,7/25/2012 8:50,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222578,7/30/2012 12:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,17.4,ng/L
222578,7/30/2012 12:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222579,7/30/2012 13:03,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,3.48,ng/L
222579,7/30/2012 13:03,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
223754,8/6/2012 11:36,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.29,ng/L
223754,8/6/2012 11:36,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
223755,8/6/2012 11:40,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,<2,ng/L
223755,8/6/2012 11:40,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
223919,8/13/2012 13:15,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.6,ng/L
223919,8/13/2012 13:15,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
224128,8/20/2012 10:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.02,ng/L
224128,8/20/2012 10:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
224471,9/4/2012 9:15,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,<2,ng/L
224471,9/4/2012 9:15,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222622,9/5/2012 8:15,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,<2,ng/L
222622,9/5/2012 8:15,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222623,9/11/2012 12:45,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,3.52,ng/L
222623,9/11/2012 12:45,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
225897,9/17/2012 10:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,24.35,ng/L
225897,9/17/2012 10:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
222624,9/18/2012 10:08,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.9,ng/L
222624,9/18/2012 10:08,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
226048,9/24/2012 9:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,7.31,ng/L
226048,9/24/2012 9:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
226049,9/24/2012 9:23,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.78,ng/L
226049,9/24/2012 9:23,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
226050,9/24/2012 12:00,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,8.39,ng/L
226050,9/24/2012 12:00,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
227090,10/1/2012 14:30,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,13.12,ng/L
227090,10/1/2012 14:30,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
227416,10/15/2012 11:12,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,113.4,ng/L
227416,10/15/2012 11:12,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
227740,10/22/2012 11:20,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,58.03,ng/L
227740,10/22/2012 11:20,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
228893,11/5/2012 11:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,80.29,ng/L
228893,11/5/2012 11:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
229030,11/13/2012 13:35,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,44,ng/L
229030,11/13/2012 13:35,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
229154,11/19/2012 12:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,34.9,ng/L
229154,11/19/2012 12:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
230300,12/3/2012 11:25,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,26.3,ng/L
230300,12/3/2012 11:25,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
230301,12/3/2012 11:30,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,23.9,ng/L
230301,12/3/2012 11:30,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
230630,12/18/2012 11:48,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,14.72,ng/L
230630,12/18/2012 11:48,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
230608,12/18/2012 11:58,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,18.48,ng/L
230608,12/18/2012 11:58,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
231868,1/11/2013 10:15,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,11.61,ng/L
231868,1/11/2013 10:15,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
231869,1/11/2013 10:17,RS-MR-01-10,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,11.65,ng/L
231869,1/11/2013 10:17,RS-MR-01-10,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
232074,1/17/2013 12:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,7.77,ng/L
232074,1/17/2013 12:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
232075,1/17/2013 12:46,FA-LFR-01,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.38,ng/L
232075,1/17/2013 12:46,FA-LFR-01,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
232208,1/28/2013 8:14,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,6.14,ng/L
232208,1/28/2013 8:14,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
232217,1/28/2013 8:15,FA-CAR-01,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,3.79,ng/L
232217,1/28/2013 8:15,FA-CAR-01,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
