Date ,Conduit 20 to Marston Total (No Chatfield water) ,Conduit 20 (with Chatfield flow) (cfs),Marston WTP Outflow (cfs),Strontia Springs Outflow (cfs),"Marston Temperature, high (C)","Marston Temperature, low (C)"
6/1/2012,43.8,63.8,77.35,97,22.77777778,8.333333333
6/2/2012,43.8,63.8,77.35,97,27.22222222,11.11111111
6/3/2012,45.6,65.6,77.35,96.05,23.88888889,10.55555556
6/4/2012,42.94,62.94,77.35,95.91,31.11111111,13.88888889
6/5/2012,43.65,63.65,77.35,96.18,31.66666667,15.55555556
6/6/2012,43.1,63.1,77.35,97.4,28.33333333,16.11111111
6/7/2012,45.91,65.91,79.55,97.5,27.22222222,10.55555556
6/8/2012,111.27,131.27,77.35,177.02,25,13.88888889
6/9/2012,136.86,156.86,77.35,192.25,32.22222222,15.55555556
6/10/2012,95.16,115.16,77.35,153.79,34.44444444,11.11111111
6/11/2012,86.92,106.92,77.35,145.38,22.77777778,7.777777778
6/12/2012,54.13,74.13,76.54,112.08,24.44444444,8.888888889
6/13/2012,48.13,68.13,84.92,104.33,28.88888889,10
6/14/2012,47.12,67.12,108.93,104.39,31.66666667,12.77777778
6/15/2012,49.18,69.18,92.82,106.48,28.33333333,14.44444444
6/16/2012,47.65,67.65,92.82,105.71,27.77777778,15.55555556
6/17/2012,47.44,67.44,92.82,104.92,26.11111111,15
6/18/2012,48.48,68.48,108.93,105.04,33.88888889,17.22222222
6/19/2012,48,68,154.7,104.54,36.66666667,16.11111111
6/20/2012,48.22,68.22,117.96,104.88,33.88888889,13.33333333
6/21/2012,48.49,68.49,107.65,104.63,28.33333333,13.33333333
6/22/2012,47.63,67.63,123.76,104.63,28.88888889,14.44444444
6/23/2012,48.79,68.79,138.59,104.83,36.66666667,16.11111111
6/24/2012,47.87,67.87,154.7,105,37.22222222,16.66666667
6/25/2012,48.84,68.84,136.33,105.26,36.11111111,17.22222222
6/26/2012,48.1,68.1,123.76,105.71,37.77777778,17.22222222
6/27/2012,48.1,68.1,123.76,103.9,37.22222222,18.88888889
6/28/2012,46.76,65.76,123.76,104.96,34.44444444,16.66666667
6/29/2012,109.82,128.82,123.76,173.42,32.77777778,17.22222222
6/30/2012,109.82,128.82,123.76,196.57,34.44444444,17.22222222
7/1/2012,142.46,161.46,123.76,190.21,32.77777778,17.77777778
7/2/2012,145.79,164.79,123.76,189.04,35.55555556,18.33333333
7/3/2012,145.59,164.59,110.87,193.46,33.88888889,18.33333333
7/4/2012,153.48,172.48,107.97,205.13,33.33333333,15.55555556
7/5/2012,177.21,196.21,148.9,227.5,33.33333333,17.77777778
7/6/2012,160.51,179.51,122.47,212.17,35,16.11111111
7/7/2012,155.93,174.93,61.88,299.38,29.44444444,16.11111111
7/8/2012,159.76,178.76,61.88,252.83,25.55555556,16.66666667
7/9/2012,155.14,174.14,61.88,207.54,23.33333333,16.66666667
7/10/2012,155.23,174.23,61.88,204.54,25.55555556,15
7/11/2012,155.1,174.1,79.93,203.13,27.77777778,14.44444444
7/12/2012,154.44,173.44,92.82,204.75,30,14.44444444
7/13/2012,114.03,132.03,92.82,172.63,31.66666667,16.11111111
7/14/2012,108.74,127.74,92.82,158.88,33.33333333,17.22222222
7/15/2012,140.48,159.48,107,197.78,34.44444444,18.33333333
7/16/2012,113.68,132.68,102.49,172.3,34.44444444,15
7/17/2012,106.84,125.84,61.88,166.67,32.77777778,15
7/18/2012,103.66,122.66,90.24,157.67,30.55555556,15
