Date,"Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia"
10/3/2019,2.8,0,2.5
10/4/2019,2.750443621,0.000924522,2.475848128
10/5/2019,2.702975252,0.001808855,2.45192091
10/6/2019,2.657549998,0.00265389,2.428216927
10/7/2019,2.614122964,0.003460521,2.40473476
10/8/2019,2.572649256,0.004229641,2.381472992
10/9/2019,2.53308398,0.004962144,2.358430203
10/10/2019,2.495382242,0.005658922,2.335604976
10/11/2019,2.459499147,0.006320869,2.312995893
10/12/2019,2.425389801,0.006948877,2.290601534
10/13/2019,2.393009309,0.007543841,2.268420483
10/14/2019,2.362312777,0.008106652,2.246451319
10/15/2019,2.333255312,0.008638204,2.224692626
10/16/2019,2.305792017,0.00913939,2.203142985
10/17/2019,2.279878,0.009611103,2.181800977
10/18/2019,2.255468366,0.010054237,2.160665184
10/19/2019,2.23251822,0.010469684,2.139734188
10/20/2019,2.210982668,0.010858337,2.119006571
10/21/2019,2.190816816,0.011221091,2.098480913
10/22/2019,2.171975769,0.011558837,2.078155798
10/23/2019,2.154414633,0.011872469,2.058029806
10/24/2019,2.138088514,0.01216288,2.03810152
10/25/2019,2.122952517,0.012430963,2.01836952
10/26/2019,2.108961749,0.012677612,1.998832389
10/27/2019,2.096071314,0.012903718,1.979488709
10/28/2019,2.084236318,0.013110177,1.96033706
10/29/2019,2.073411867,0.01329788,1.941376025
10/30/2019,2.063553067,0.01346772,1.922604186
10/31/2019,2.054615023,0.013620592,1.904020124
11/1/2019,2.046552841,0.013757387,1.88562242
11/2/2019,2.039321626,0.013878999,1.867409657
11/3/2019,2.032876485,0.013986322,1.849380416
11/4/2019,2.027172523,0.014080248,1.831533278
11/5/2019,2.022164845,0.01416167,1.813866826
11/6/2019,2.017808558,0.014231482,1.796379642
11/7/2019,2.014058766,0.014290576,1.779070306
11/8/2019,2.010870576,0.014339847,1.761937401
11/9/2019,2.008199093,0.014380186,1.744979508
11/10/2019,2.005999422,0.014412487,1.728195209
11/11/2019,2.004226671,0.014437643,1.711583085
11/12/2019,2.002835943,0.014456547,1.695141719
11/13/2019,2.001782345,0.014470092,1.678869692
11/14/2019,2.001020983,0.014479172,1.662765586
11/15/2019,2.000506961,0.01448468,1.646827982
11/16/2019,2.000195387,0.014487508,1.631055461
11/17/2019,2.000041364,0.01448855,1.615446607
11/18/2019,2,0.014488699,1.6
11/19/2019,2.00389005,0.014304102,1.584066397
11/20/2019,2.014956692,0.013784656,1.567198401
11/21/2019,2.032294669,0.012981874,1.549697364
11/22/2019,2.05499872,0.011947274,1.53186464
11/23/2019,2.082163585,0.01073237,1.514001579
11/24/2019,2.112884006,0.009388677,1.496409535
11/25/2019,2.146254724,0.007967711,1.479389859
11/26/2019,2.181370478,0.006520988,1.463243905
11/27/2019,2.21732601,0.005100022,1.448273023
11/28/2019,2.253216059,0.003756329,1.434778567
11/29/2019,2.288135368,0.002541425,1.423061889
11/30/2019,2.321178675,0.001506825,1.413424341
12/1/2019,2.351440723,0.000704043,1.406167275
12/2/2019,2.378016251,0.000184597,1.401592044
12/3/2019,2.4,0,1.4
12/4/2019,2.419495321,0,1.400240233
12/5/2019,2.439179077,0,1.400942274
12/6/2019,2.459006278,0,1.402078134
12/7/2019,2.478931937,0,1.403619825
12/8/2019,2.498911062,0,1.405539359
12/9/2019,2.518898666,0,1.407808746
12/10/2019,2.538849758,0,1.4104
12/11/2019,2.558719349,0,1.413285131
12/12/2019,2.57846245,0,1.416436152
12/13/2019,2.598034072,0,1.419825073
12/14/2019,2.617389225,0,1.423423907
12/15/2019,2.636482919,0,1.427204665
12/16/2019,2.655270167,0,1.431139359
12/17/2019,2.673705977,0,1.4352
12/18/2019,2.691745362,0,1.439358601
12/19/2019,2.709343331,0,1.443587172
12/20/2019,2.726454895,0,1.447857726
12/21/2019,2.743035065,0,1.452142274
12/22/2019,2.759038852,0,1.456412828
12/23/2019,2.774421266,0,1.460641399
12/24/2019,2.789137318,0,1.4648
12/25/2019,2.803142019,0,1.468860641
12/26/2019,2.816390379,0,1.472795335
12/27/2019,2.828837408,0,1.476576093
12/28/2019,2.840438118,0,1.480174927
12/29/2019,2.85114752,0,1.483563848
12/30/2019,2.860920623,0,1.486714869
12/31/2019,2.869712439,0,1.4896
1/1/2020,2.877477979,0,1.492191254
1/2/2020,2.884172252,0,1.494460641
1/3/2020,2.88975027,0,1.496380175
1/4/2020,2.894167043,0,1.497921866
1/5/2020,2.897377582,0,1.499057726
1/6/2020,2.899336897,0,1.499759767
1/7/2020,2.9,0,1.5
1/8/2020,2.9,4.08E-06,1.499876752
1/9/2020,2.9,1.63E-05,1.499513808
1/10/2020,2.9,3.68E-05,1.498921368
1/11/2020,2.9,6.54E-05,1.498109631
1/12/2020,2.9,0.000102205,1.497088798
1/13/2020,2.9,0.000147239,1.495869068
1/14/2020,2.9,0.000200494,1.494460641
1/15/2020,2.9,0.000261981,1.492873718
1/16/2020,2.9,0.000331711,1.491118497
1/17/2020,2.9,0.000409694,1.489205178
1/18/2020,2.9,0.00049594,1.487143962
1/19/2020,2.9,0.000590461,1.484945048
1/20/2020,2.9,0.000693266,1.482618637
1/21/2020,2.9,0.000804366,1.480174927
1/22/2020,2.9,0.000923772,1.477624119
1/23/2020,2.9,0.001051494,1.474976413
1/24/2020,2.9,0.001187542,1.472242008
1/25/2020,2.9,0.001331926,1.469431104
1/26/2020,2.9,0.001484658,1.466553902
1/27/2020,2.9,0.001645748,1.4636206
1/28/2020,2.9,0.001815206,1.460641399
1/29/2020,2.9,0.001993043,1.457626499
1/30/2020,2.9,0.002179269,1.454586099
1/31/2020,2.9,0.002373894,1.4515304
2/1/2020,2.9,0.00257693,1.4484696
2/2/2020,2.9,0.002788386,1.445413901
2/3/2020,2.9,0.003008273,1.442373501
2/4/2020,2.9,0.003236602,1.439358601
2/5/2020,2.9,0.003473382,1.4363794
2/6/2020,2.9,0.003718625,1.433446098
2/7/2020,2.9,0.00397234,1.430568896
