Date,TOC,TP,Turbidity
10/3/19,3.9,0.015,0.88
10/4/19,,,
10/5/19,,,
10/6/19,,,
10/7/19,,,
10/8/19,,,
10/9/19,,,
10/10/19,,,
10/11/19,,,
10/12/19,,,
10/13/19,,,
10/14/19,,,
10/15/19,,,
10/16/19,,,
10/17/19,,,
10/18/19,,,
10/19/19,,,
10/20/19,,,
10/21/19,,,
10/22/19,,,
10/23/19,,,
10/24/19,,,
10/25/19,,,
10/26/19,,,
10/27/19,,,
10/28/19,,,
10/29/19,,,
10/30/19,,,
10/31/19,,,
11/1/19,,,
11/2/19,,,
11/3/19,,,
11/4/19,,,
11/5/19,,,
11/6/19,,,
11/7/19,,,
11/8/19,,,
11/9/19,,,
11/10/19,,,
11/11/19,,,
11/12/19,,,
11/13/19,,,
11/14/19,,,
11/15/19,,,
11/16/19,,,
11/17/19,,,
11/18/19,3,0,0.43
11/19/19,,,
11/20/19,,,
11/21/19,,,
11/22/19,,,
11/23/19,,,
11/24/19,,,
11/25/19,,,
11/26/19,,,
11/27/19,,,
11/28/19,,,
11/29/19,,,
11/30/19,,,
12/1/19,,,
12/2/19,,,
12/3/19,3.2,0.014,0.53
12/4/19,,,
12/5/19,,,
12/6/19,,,
12/7/19,,,
12/8/19,,,
12/9/19,,,
12/10/19,,,
12/11/19,,,
12/12/19,,,
12/13/19,,,
12/14/19,,,
12/15/19,,,
12/16/19,,,
12/17/19,,,
12/18/19,,,
12/19/19,,,
12/20/19,,,
12/21/19,,,
12/22/19,,,
12/23/19,,,
12/24/19,,,
12/25/19,,,
12/26/19,,,
12/27/19,,,
12/28/19,,,
12/29/19,,,
12/30/19,,,
12/31/19,,,
1/1/20,,,
1/2/20,,,
1/3/20,,,
1/4/20,,,
1/5/20,,,
1/6/20,,,
1/7/20,3.1,0,0.63
1/8/20,,,
1/9/20,,,
1/10/20,,,
1/11/20,,,
1/12/20,,,
1/13/20,,,
1/14/20,,,
1/15/20,,,
1/16/20,,,
1/17/20,,,
1/18/20,,,
1/19/20,,,
1/20/20,,,
1/21/20,,,
1/22/20,,,
1/23/20,,,
1/24/20,,,
1/25/20,,,
1/26/20,,,
1/27/20,,,
1/28/20,,,
1/29/20,,,
1/30/20,,,
1/31/20,,,
2/1/20,,,
2/2/20,,,
2/3/20,,,
2/4/20,,,
2/5/20,,,
2/6/20,,,
2/7/20,,,
2/8/20,,,
2/9/20,,,
2/10/20,,,
2/11/20,,,
2/12/20,,,
2/13/20,,,
2/14/20,,,
2/15/20,,,
2/16/20,,,
2/17/20,,,
2/18/20,,,
2/19/20,,,
2/20/20,,,
2/21/20,,,
2/22/20,,,
2/23/20,3.2,0.013,0.79
2/24/20,,,
2/25/20,,,
2/26/20,,,
2/27/20,,,
2/28/20,,,
2/29/20,,,
3/1/20,,,
3/2/20,,,
3/3/20,,,
3/4/20,,,
3/5/20,,,
3/6/20,,,
3/7/20,,,
3/8/20,,,
3/9/20,,,
3/10/20,,,
3/11/20,,,
3/12/20,3.9,0.014,3.5
3/13/20,,,
3/14/20,,,
3/15/20,,,
3/16/20,,,
3/17/20,,,
3/18/20,,,
3/19/20,,,
3/20/20,,,
3/21/20,,,
3/22/20,,,
3/23/20,,,
3/24/20,,,
3/25/20,,,
3/26/20,,,
3/27/20,,,
3/28/20,,,
3/29/20,,,
3/30/20,,,
3/31/20,,,
4/1/20,3.3,0.016,1.7
4/2/20,,,
4/3/20,,,
4/4/20,,,
4/5/20,,,
4/6/20,,,
4/7/20,,,
4/8/20,,,
4/9/20,,,
4/10/20,,,
4/11/20,,,
4/12/20,,,
4/13/20,,,
4/14/20,,,
4/15/20,,,
4/16/20,,,
4/17/20,,,
4/18/20,,,
4/19/20,,,
4/20/20,,,
4/21/20,,,
4/22/20,,,
4/23/20,,,
4/24/20,,,
4/25/20,,,
4/26/20,,,
4/27/20,,,
4/28/20,,,
4/29/20,,,
4/30/20,,,
5/1/20,,,
5/2/20,,,
5/3/20,,,
5/4/20,,,
5/5/20,,,
5/6/20,,,
5/7/20,3.4,0.014,2.2
5/8/20,,,
5/9/20,,,
5/10/20,,,
5/11/20,,,
5/12/20,,,
5/13/20,,,
5/14/20,,,
5/15/20,,,
5/16/20,,,
5/17/20,,,
5/18/20,,,
5/19/20,,,
5/20/20,,,
5/21/20,,,
5/22/20,,,
5/23/20,,,
5/24/20,,,
5/25/20,,,
5/26/20,,,
5/27/20,,,
5/28/20,,,
5/29/20,,,
5/30/20,,,
5/31/20,,,
6/1/20,,,
6/2/20,,,
6/3/20,,,
6/4/20,,,
6/5/20,,,
6/6/20,,,
6/7/20,,,
6/8/20,3.42,0.019,0.91
6/9/20,,,
6/10/20,,,
6/11/20,,,
6/12/20,,,
6/13/20,,,
6/14/20,,,
6/15/20,,,
6/16/20,,,
6/17/20,,,
6/18/20,,,
6/19/20,,,
6/20/20,,,
6/21/20,,,
6/22/20,,,
6/23/20,,,
6/24/20,,,
6/25/20,,,
6/26/20,,,
6/27/20,,,
6/28/20,,,
6/29/20,,,
6/30/20,,,
7/1/20,,,
7/2/20,,,
7/3/20,,,
7/4/20,,,
7/5/20,,,
7/6/20,,,
7/7/20,,,
7/8/20,,,
7/9/20,,,
7/10/20,,,
7/11/20,,,
7/12/20,,,
7/13/20,,,
7/14/20,,,
7/15/20,,,
7/16/20,,,
7/17/20,,,
7/18/20,,,
7/19/20,,,
7/20/20,,,
