Date,"Adjusted TOC, NF Above Conf.","Adjusted TP, NF Above Conf.","Adjusted turbidity, NF Above Conf."
10/3/2019,2.2,0,1.8
10/4/2019,2.199746289,0,1.80638099
10/5/2019,2.198990904,0,1.812484589
10/6/2019,2.197742469,0,1.818316964
10/7/2019,2.196009607,0,1.823884277
10/8/2019,2.193800942,0,1.829192693
10/9/2019,2.191125097,0,1.834248377
10/10/2019,2.187990695,0,1.839057492
10/11/2019,2.18440636,0,1.843626202
10/12/2019,2.180380715,0,1.847960672
10/13/2019,2.175922383,0,1.852067067
10/14/2019,2.171039989,0,1.855951549
10/15/2019,2.165742154,0,1.859620284
10/16/2019,2.160037503,0,1.863079436
10/17/2019,2.153934659,0,1.866335169
10/18/2019,2.147442245,0,1.869393647
10/19/2019,2.140568885,0,1.872261034
10/20/2019,2.133323202,0,1.874943495
10/21/2019,2.12571382,0,1.877447193
10/22/2019,2.117749361,0,1.879778294
10/23/2019,2.10943845,0,1.88194296
10/24/2019,2.100789709,0,1.883947358
10/25/2019,2.091811762,0,1.885797649
10/26/2019,2.082513233,0,1.8875
10/27/2019,2.072902744,0,1.889060574
10/28/2019,2.062988919,0,1.890485535
10/29/2019,2.052780382,0,1.891781047
10/30/2019,2.042285755,0,1.892953275
10/31/2019,2.031513663,0,1.894008383
11/1/2019,2.020472729,0,1.894952536
11/2/2019,2.009171575,0,1.895791896
11/3/2019,1.997618825,0,1.896532629
11/4/2019,1.985823104,0,1.897180899
11/5/2019,1.973793033,0,1.89774287
11/6/2019,1.961537237,0,1.898224706
11/7/2019,1.949064339,0,1.898632572
11/8/2019,1.936382962,0,1.898972631
11/9/2019,1.923501729,0,1.899251048
11/10/2019,1.910429265,0,1.899473987
11/11/2019,1.897174192,0,1.899647612
11/12/2019,1.883745133,0,1.899778088
11/13/2019,1.870150713,0,1.899871579
11/14/2019,1.856399554,0,1.899934248
11/15/2019,1.84250028,0,1.899972261
11/16/2019,1.828461514,0,1.899991781
11/17/2019,1.814291879,0,1.899998973
11/18/2019,1.8,0,1.9
11/19/2019,1.783740462,0,1.89270641
11/20/2019,1.763973047,0,1.872020634
11/21/2019,1.741164173,0,1.839735163
11/22/2019,1.715780259,0,1.797642488
11/23/2019,1.688287721,0,1.747535099
11/24/2019,1.659152978,0,1.691205489
11/25/2019,1.628842448,0,1.630446147
11/26/2019,1.597822549,0,1.567049565
11/27/2019,1.566559697,0,1.502808233
11/28/2019,1.535520312,0,1.439514643
11/29/2019,1.50517081,0,1.378961286
11/30/2019,1.47597761,0,1.322940652
12/1/2019,1.44840713,0,1.273245232
12/2/2019,1.422925788,0,1.231667518
12/3/2019,1.4,0,1.2
12/4/2019,1.378276663,0,1.173962687
12/5/2019,1.356133502,0,1.148103544
12/6/2019,1.333633175,0,1.122456991
12/7/2019,1.310838345,0,1.097057453
12/8/2019,1.287811671,0,1.071939351
12/9/2019,1.264615813,0,1.047137107
12/10/2019,1.241313433,0,1.022685146
12/11/2019,1.21796719,0,0.998617888
12/12/2019,1.194639746,0,0.974969757
12/13/2019,1.17139376,0,0.951775175
12/14/2019,1.148291893,0,0.929068565
12/15/2019,1.125396806,0,0.906884349
12/16/2019,1.102771159,0,0.885256949
12/17/2019,1.080477612,0,0.864220789
12/18/2019,1.058578826,0,0.843810291
12/19/2019,1.037137461,0,0.824059876
12/20/2019,1.016216179,0,0.805003969
12/21/2019,0.995877638,0,0.786676991
12/22/2019,0.9761845,0,0.769113365
12/23/2019,0.957199426,0,0.752347514
12/24/2019,0.938985075,0,0.736413859
12/25/2019,0.921604108,0,0.721346824
12/26/2019,0.905119185,0,0.707180831
12/27/2019,0.889592968,0,0.693950303
12/28/2019,0.875088116,0,0.681689662
12/29/2019,0.86166729,0,0.67043333
12/30/2019,0.849393151,0,0.660215731
12/31/2019,0.838328358,0,0.651071286
1/1/2020,0.828535573,0,0.643034419
1/2/2020,0.820077455,0,0.636139552
1/3/2020,0.813016666,0,0.630421106
1/4/2020,0.807415865,0,0.625913506
1/5/2020,0.803337714,0,0.622651173
1/6/2020,0.800844872,0,0.62066853
1/7/2020,0.8,0,0.62
1/8/2020,0.8,0,0.621524392
1/9/2020,0.8,0,0.626039018
1/10/2020,0.8,0,0.633456052
1/11/2020,0.8,0,0.64368767
1/12/2020,0.8,0,0.656646044
1/13/2020,0.8,0,0.672243351
1/14/2020,0.8,0,0.690391765
1/15/2020,0.8,0,0.71100346
1/16/2020,0.8,0,0.733990611
1/17/2020,0.8,0,0.759265393
1/18/2020,0.8,0,0.786739979
1/19/2020,0.8,0,0.816326545
1/20/2020,0.8,0,0.847937266
1/21/2020,0.8,0,0.881484315
1/22/2020,0.8,0,0.916879867
1/23/2020,0.8,0,0.954036098
1/24/2020,0.8,0,0.99286518
1/25/2020,0.8,0,1.03327929
1/26/2020,0.8,0,1.075190602
1/27/2020,0.8,0,1.11851129
1/28/2020,0.8,0,1.163153529
1/29/2020,0.8,0,1.209029493
1/30/2020,0.8,0,1.256051357
1/31/2020,0.8,0,1.304131296
2/1/2020,0.8,0,1.353181484
2/2/2020,0.8,0,1.403114095
2/3/2020,0.8,0,1.453841305
2/4/2020,0.8,0,1.505275288
2/5/2020,0.8,0,1.557328219
2/6/2020,0.8,0,1.609912271
2/7/2020,0.8,0,1.66293962
2/8/2020,0.8,0,1.71632244
2/9/2020,0.8,0,1.769972906
2/10/2020,0.8,0,1.823803192
2/11/2020,0.8,0,1.877725473
2/12/2020,0.8,0,1.931651924
2/13/2020,0.8,0,1.985494719
2/14/2020,0.8,0,2.039166033
2/15/2020,0.8,0,2.092578039
2/16/2020,0.8,0,2.145642914
2/17/2020,0.8,0,2.198272831
2/18/2020,0.8,0,2.250379965
2/19/2020,0.8,0,2.30187649
2/20/2020,0.8,0,2.352674582
2/21/2020,0.8,0,2.402686415
2/22/2020,0.8,0,2.451824162
2/23/2020,0.8,0,2.5
2/24/2020,0.809807956,9.08E-05,2.551432869
2/25/2020,0.837722908,0.000351421,2.609616982
2/26/2020,0.881481481,0.000763848,2.673377423
2/27/2020,0.938820302,0.001310221,2.741539275
2/28/2020,1.007475995,0.001972639,2.812927622
2/29/2020,1.085185185,0.002733203,2.886367546
3/1/2020,1.169684499,0.003574015,2.960684131
3/2/2020,1.258710562,0.004477173,3.03470246
3/3/2020,1.35,0.00542478,3.107247617
3/4/2020,1.441289438,0.006398936,3.177144684
3/5/2020,1.530315501,0.007381741,3.243218745
3/6/2020,1.614814815,0.008355295,3.304294884
3/7/2020,1.692524005,0.0093017,3.359198183
3/8/2020,1.761179698,0.010203056,3.406753726
3/9/2020,1.818518519,0.011041463,3.445786596
3/10/2020,1.862277092,0.011799023,3.475121876
3/11/2020,1.890192044,0.012457835,3.493584649
3/12/2020,1.9,0.013,3.5
3/13/2020,1.898023971,0.013482189,3.484850448
3/14/2020,1.892355037,0.013970948,3.441388619
3/15/2020,1.883381924,0.014463189,3.372594752
3/16/2020,1.871493359,0.014955826,3.281449088
3/17/2020,1.857078069,0.015445772,3.170931865
3/18/2020,1.840524781,0.015929939,3.044023324
3/19/2020,1.822222222,0.016405242,2.903703704
3/20/2020,1.802559119,0.016868593,2.752953245
3/21/2020,1.781924198,0.017316905,2.594752187
3/22/2020,1.760706187,0.017747092,2.432080769
3/23/2020,1.739293813,0.018156065,2.267919231
3/24/2020,1.718075802,0.01854074,2.105247813
3/25/2020,1.697440881,0.018898028,1.947046755
3/26/2020,1.677777778,0.019224843,1.796296296
3/27/2020,1.659475219,0.019518098,1.655976676
3/28/2020,1.642921931,0.019774706,1.529068135
3/29/2020,1.628506641,0.01999158,1.418550912
3/30/2020,1.616618076,0.020165634,1.327405248
