Date,"Adjusted TOC, Upstream Strontia","Adjusted TP, Upstream Strontia","Adjusted turbidity, Upstream Strontia"
10/3/2019,2.7,0.012,1.3
10/4/2019,2.668095052,0.011545321,1.3
10/5/2019,2.637577053,0.011096589,1.3
10/6/2019,2.60841518,0.010653984,1.3
10/7/2019,2.580578614,0.010217689,1.3
10/8/2019,2.554036533,0.009787886,1.3
10/9/2019,2.528758116,0.009364756,1.3
10/10/2019,2.504712542,0.008948481,1.3
10/11/2019,2.48186899,0.008539244,1.3
10/12/2019,2.460196638,0.008137226,1.3
10/13/2019,2.439664667,0.007742609,1.3
10/14/2019,2.420242254,0.007355575,1.3
10/15/2019,2.401898578,0.006976307,1.3
10/16/2019,2.384602819,0.006604984,1.3
10/17/2019,2.368324156,0.006241791,1.3
10/18/2019,2.353031766,0.005886908,1.3
10/19/2019,2.33869483,0.005540517,1.3
10/20/2019,2.325282527,0.005202801,1.3
10/21/2019,2.312764034,0.004873941,1.3
10/22/2019,2.301108531,0.00455412,1.3
10/23/2019,2.290285198,0.004243518,1.3
10/24/2019,2.280263212,0.003942318,1.3
10/25/2019,2.271011753,0.003650703,1.3
10/26/2019,2.2625,0.003368852,1.3
10/27/2019,2.254697132,0.00309695,1.3
10/28/2019,2.247572327,0.002835177,1.3
10/29/2019,2.241094765,0.002583715,1.3
10/30/2019,2.235233624,0.002342747,1.3
10/31/2019,2.229958083,0.002112454,1.3
11/1/2019,2.225237322,0.001893018,1.3
11/2/2019,2.221040519,0.001684621,1.3
11/3/2019,2.217336854,0.001487445,1.3
11/4/2019,2.214095504,0.001301672,1.3
11/5/2019,2.21128565,0.001127483,1.3
11/6/2019,2.208876469,0.000965061,1.3
11/7/2019,2.206837141,0.000814588,1.3
11/8/2019,2.205136846,0.000676245,1.3
11/9/2019,2.20374476,0.000550214,1.3
11/10/2019,2.202630065,0.000436677,1.3
11/11/2019,2.201761938,0.000335816,1.3
11/12/2019,2.201109559,0.000247814,1.3
11/13/2019,2.200642106,0.000172851,1.3
11/14/2019,2.200328758,0.000111109,1.3
11/15/2019,2.200138695,6.28E-05,1.3
11/16/2019,2.200041095,2.80E-05,1.3
11/17/2019,2.200005137,7.04E-06,1.3
11/18/2019,2.2,0,1.3
11/19/2019,2.206001464,0,1.3344
11/20/2019,2.222926072,0,1.4312
11/21/2019,2.24915415,0,1.5808
11/22/2019,2.283066023,0,1.7736
11/23/2019,2.323042014,0,2
11/24/2019,2.367462451,0,2.2504
11/25/2019,2.414707656,0,2.5152
11/26/2019,2.463157956,0,2.7848
11/27/2019,2.511193676,0,3.0496
11/28/2019,2.55719514,0,3.3
11/29/2019,2.599542673,0,3.5264
11/30/2019,2.636616601,0,3.7192
12/1/2019,2.666797248,0,3.8688
12/2/2019,2.688464939,0,3.9656
12/3/2019,2.7,0,4
12/4/2019,2.705768434,0,3.992432653
12/5/2019,2.711224577,0,3.970318367
12/6/2019,2.716381249,0,3.934538776
12/7/2019,2.721251274,0,3.88597551
12/8/2019,2.725847472,0,3.825510204
12/9/2019,2.730182665,0,3.75402449
12/10/2019,2.734269676,0,3.6724
12/11/2019,2.738121326,0,3.581518367
12/12/2019,2.741750436,0,3.482261224
12/13/2019,2.745169828,0,3.375510204
12/14/2019,2.748392325,0,3.262146939
12/15/2019,2.751430747,0,3.143053061
12/16/2019,2.754297917,0,3.019110204
12/17/2019,2.757006657,0,2.8912
12/18/2019,2.759569787,0,2.760204082
12/19/2019,2.76200013,0,2.627004082
12/20/2019,2.764310508,0,2.492481633
12/21/2019,2.766513742,0,2.357518367
12/22/2019,2.768622654,0,2.222995918
12/23/2019,2.770650066,0,2.089795918
12/24/2019,2.772608799,0,1.9588
12/25/2019,2.774511676,0,1.830889796
12/26/2019,2.776371517,0,1.706946939
12/27/2019,2.778201146,0,1.587853061
12/28/2019,2.780013382,0,1.474489796
12/29/2019,2.781821049,0,1.367738776
12/30/2019,2.783636968,0,1.268481633
12/31/2019,2.785473961,0,1.1776
1/1/2020,2.787344849,0,1.09597551
1/2/2020,2.789262455,0,1.024489796
1/3/2020,2.791239599,0,0.96402449
1/4/2020,2.793289104,0,0.915461224
1/5/2020,2.795423791,0,0.879681633
1/6/2020,2.797656483,0,0.857567347
1/7/2020,2.8,0,0.85
1/8/2020,2.802349495,1.05E-05,0.850215553
1/9/2020,2.80459543,4.15E-05,0.850863337
1/10/2020,2.806743595,9.22E-05,0.851945043
1/11/2020,2.808799779,0.000161999,0.853462361
1/12/2020,2.810769772,0.000250043,0.85541698
1/13/2020,2.812659362,0.000355628,0.857810591
1/14/2020,2.814474338,0.000478012,0.860644882
1/15/2020,2.81622049,0.000616459,0.863921544
1/16/2020,2.817903608,0.000770227,0.867642267
1/17/2020,2.81952948,0.000938579,0.87180874
1/18/2020,2.821103895,0.001120774,0.876422653
