SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
221912,7/2/12 14:40,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,26.69,ng/L,5,MLOWM,7/2/2012,14:40:00
222026,7/10/12 14:00,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4.64,ng/L,5,MLOWM,7/10/2012,14:00:00
222352,7/18/12 8:40,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,24.63,ng/L,5,MLOWM,7/18/2012,8:40:00
222470,7/25/12 8:45,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,62.66,ng/L,5,MLOWM,7/25/2012,8:45:00
222471,7/25/12 8:50,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5.07,ng/L,15,MLOWL,7/25/2012,8:50:00
222578,7/30/12 12:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,17.4,ng/L,5,MLOWM,7/30/2012,12:57:00
222579,7/30/12 13:03,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3.48,ng/L,15,MLOWL,7/30/2012,13:03:00
223754,8/6/12 11:36,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5.29,ng/L,5,MLOWM,8/6/2012,11:36:00
223919,8/13/12 13:15,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5.6,ng/L,5,MLOWM,8/13/2012,13:15:00
224128,8/20/12 10:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4.02,ng/L,5,MLOWM,8/20/2012,10:55:00
225897,9/17/12 10:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,24.35,ng/L,5,MLOWM,9/17/2012,10:57:00
226048,9/24/12 9:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,7.31,ng/L,5,MLOWM,9/24/2012,9:22:00
226049,9/24/12 9:23,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5.78,ng/L,15,MLOWL,9/24/2012,9:23:00
227416,10/15/12 11:12,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,113.4,ng/L,5,MLOWM,10/15/2012,11:12:00
227740,10/22/12 11:20,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,58.03,ng/L,5,MLOWM,10/22/2012,11:20:00
228893,11/5/12 11:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,80.29,ng/L,5,MLOWM,11/5/2012,11:55:00
229030,11/13/12 13:35,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,44,ng/L,5,MLOWM,11/13/2012,13:35:00
229154,11/19/12 12:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,34.9,ng/L,5,MLOWM,11/19/2012,12:22:00
230300,12/3/12 11:25,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,26.3,ng/L,5,MLOWM,12/3/2012,11:25:00
