Date ,Waterton Gage (cfs),Waterton Gage (AF),Water Temperature (F),Water Temperature (-C),"Temp, Ch, F (high) ","Temp Ch, C (high) ","Temp, Ch, F (low)","Temp Ch, C (low)"
6/1/2012,47.4,94.0179,,,82,27.8,50,10.0
6/2/2012,47.9,95.00965,,,82,27.8,55,12.8
6/3/2012,47.4,94.0179,,,88,31.1,54,12.2
6/4/2012,45.4,90.0509,,,90,32.2,63,17.2
6/5/2012,45.3,89.85255,,,83,28.3,62,16.7
6/6/2012,47.2,93.6212,,,85,29.4,50,10.0
6/7/2012,48.8,96.7948,,,80,26.7,56,13.3
6/8/2012,50.4,99.9684,,,0,-17.8,0,-17.8
6/9/2012,49.2,97.5882,,,0,-17.8,0,-17.8
6/10/2012,49.7,98.57995,,,75,23.9,46,7.8
6/11/2012,52.2,103.5387,,,79,26.1,51,10.6
6/12/2012,54,107.109,,,84,28.9,55,12.8
6/13/2012,51.1,101.35685,,,90,32.2,58,14.4
6/14/2012,50.6,100.3651,,,84,28.9,58,14.4
6/15/2012,50.3,99.77005,,,85,29.4,58,14.4
6/16/2012,51.9,102.94365,,,79,26.1,58,14.4
6/17/2012,49.1,97.38985,,,96,35.6,66,18.9
6/18/2012,49,97.1915,,,99,37.2,58,14.4
6/19/2012,49.6,98.3816,,,95,35.0,51,10.6
6/20/2012,49.1,97.38985,,,70,21.1,46,7.8
6/21/2012,49.6,98.3816,,,86,30.0,54,12.2
6/22/2012,48.7,96.59645,,,101,38.3,60,15.6
6/23/2012,48.9,96.99315,,,101,38.3,68,20.0
6/24/2012,49.3,97.78655,,,96,35.6,56,13.3
6/25/2012,50.2,99.5717,,,100,37.8,69,20.6
6/26/2012,50.8,100.7618,,,102,38.9,69,20.6
6/27/2012,53.6,106.3156,,,101,38.3,70,21.1
6/28/2012,52.5,104.13375,,,94,34.4,65,18.3
6/29/2012,53.1,105.32385,,,94,34.4,65,18.3
6/30/2012,53.9,106.91065,,,94,34.4,66,18.9
7/1/2012,53.6,106.3156,,,96,35.6,62,16.7
7/2/2012,48.2,95.6047,,,96,35.6,68,20.0
7/3/2012,49,97.1915,,,93,33.9,65,18.3
7/4/2012,49.9,98.97665,,,93,33.9,65,18.3
7/5/2012,56.8,112.6628,,,96,35.6,62,16.7
7/6/2012,55.1,109.29085,,,85,29.4,60,15.6
7/7/2012,80.3,159.27505,,,79,26.1,60,15.6
7/8/2012,161,319.3435,,,74,23.3,60,15.6
7/9/2012,61.5,121.98525,,,80,26.7,55,12.8
7/10/2012,53,105.1255,,,84,28.9,60,15.6
7/11/2012,51,101.1585,,,88,31.1,60,15.6
7/12/2012,51.2,101.5552,,,90,32.2,64,17.8
7/13/2012,60.4,119.8034,,,93,33.9,64,17.8
