Date ,Conduit 20 Diversion (cfs),Conduit 20 from River (cfs),Conduit 20 to Marston Total (No Chatfield water) ,Conduit 20 (flow from Chatfield) ,Conduit 20 Total with Chatfield flow (AF),"Temp, H","Temp, L"
6/1/2012,28.8,15,43.8,20,63.8,73,47
6/2/2012,28.8,15,43.8,20,63.8,81,52
6/3/2012,30.6,15,45.6,20,65.6,75,51
6/4/2012,27.94,15,42.94,20,62.94,88,57
6/5/2012,28.65,15,43.65,20,63.65,89,60
6/6/2012,28.1,15,43.1,20,63.1,83,61
6/7/2012,30.91,15,45.91,20,65.91,81,51
6/8/2012,96.27,15,111.27,20,131.27,77,57
6/9/2012,121.86,15,136.86,20,156.86,90,60
6/10/2012,80.16,15,95.16,20,115.16,94,52
6/11/2012,71.92,15,86.92,20,106.92,73,46
6/12/2012,39.13,15,54.13,20,74.13,76,48
6/13/2012,33.13,15,48.13,20,68.13,84,50
6/14/2012,32.12,15,47.12,20,67.12,89,55
6/15/2012,34.18,15,49.18,20,69.18,83,58
6/16/2012,32.65,15,47.65,20,67.65,82,60
6/17/2012,32.44,15,47.44,20,67.44,79,59
6/18/2012,33.48,15,48.48,20,68.48,93,63
6/19/2012,33,15,48,20,68,98,61
6/20/2012,33.22,15,48.22,20,68.22,93,56
6/21/2012,33.49,15,48.49,20,68.49,83,56
6/22/2012,32.63,15,47.63,20,67.63,84,58
6/23/2012,33.79,15,48.79,20,68.79,98,61
6/24/2012,32.87,15,47.87,20,67.87,99,62
6/25/2012,33.84,15,48.84,20,68.84,97,63
6/26/2012,33.1,15,48.1,20,68.1,100,63
6/27/2012,33.1,15,48.1,20,68.1,99,66
6/28/2012,31.76,15,46.76,19,65.76,94,62
6/29/2012,94.82,15,109.82,19,128.82,91,63
6/30/2012,94.82,15,109.82,19,128.82,94,63
7/1/2012,127.46,15,142.46,19,161.46,91,64
7/2/2012,130.79,15,145.79,19,164.79,96,65
7/3/2012,130.59,15,145.59,19,164.59,93,65
7/4/2012,138.48,15,153.48,19,172.48,92,60
7/5/2012,162.21,15,177.21,19,196.21,92,64
7/6/2012,146.51,14,160.51,19,179.51,95,61
7/7/2012,139.93,16,155.93,19,174.93,85,61
7/8/2012,144.76,15,159.76,19,178.76,78,62
7/9/2012,140.14,15,155.14,19,174.14,74,62
7/10/2012,140.23,15,155.23,19,174.23,78,59
7/11/2012,140.1,15,155.1,19,174.1,82,58
7/12/2012,139.44,15,154.44,19,173.44,86,58
7/13/2012,99.03,15,114.03,18,132.03,89,61
7/14/2012,93.74,15,108.74,19,127.74,92,63
7/15/2012,125.48,15,140.48,19,159.48,94,65
7/16/2012,98.68,15,113.68,19,132.68,94,59
7/17/2012,95.84,11,106.84,19,125.84,91,59
7/18/2012,88.66,15,103.66,19,122.66,87,59
7/19/2012,110.26,12,122.26,19,141.26,93,63
7/20/2012,111.5,15,126.5,19,145.5,95,63
7/21/2012,111.9,15,126.9,19,145.9,97,63
7/22/2012,114.65,17,131.65,19,150.65,97,63
7/23/2012,111.23,15,126.23,19,145.23,92,62
7/24/2012,112.65,15,127.65,19,146.65,94,62
7/25/2012,113.67,16,129.67,19,148.67,92,64
7/26/2012,113.05,9,122.05,19,141.05,84,59
7/27/2012,124.04,15,139.04,19,158.04,89,60
7/28/2012,130.06,15,145.06,0,145.06,90,62
7/29/2012,102.18,15,117.18,0,117.18,87,65
7/30/2012,129.5,12,141.5,0,141.5,90,62
7/31/2012,85.55,15,100.55,0,100.55,85,64
8/1/2012,100.98,15,115.98,0,115.98,91,65
8/2/2012,102.73,15,117.73,0,117.73,91,61
8/3/2012,99.62,15,114.62,0,114.62,91,60
8/4/2012,98.97,15,113.97,0,113.97,94,57
8/5/2012,100.43,15,115.43,0,115.43,81,57
8/6/2012,100.42,15,115.42,0,115.42,92,63
8/7/2012,99.37,13,112.37,0,112.37,93,66
8/8/2012,129.32,13,142.32,0,142.32,90,57
8/9/2012,132.72,13,145.72,0,145.72,92,56
8/10/2012,131.4,13,144.4,0,144.4,89,56
8/11/2012,133.04,13,146.04,0,146.04,89,64
8/12/2012,129.77,15,144.77,0,144.77,85,55
8/13/2012,129.84,15,144.84,0,144.84,83,57
8/14/2012,132.75,15,147.75,0,147.75,76,55
8/15/2012,130.97,15,145.97,0,145.97,92,55
8/16/2012,107.8,16,123.8,0,123.8,91,53
8/17/2012,98.19,15,113.19,0,113.19,76,50
8/18/2012,101.59,15,116.59,0,116.59,81,52
