Month,"Downstream Strontia, 15","Downstream Strontia, 50","Downstream Strontia, 85","Downstream Strontia, BR (low)","Downstream Strontia, BR (high)","Downstream Strontia, 2020","Downstream Strontia, 2021","Downstream Strontia, 2022","Upstream Strontia, 15","Upstream Strontia, 50","Upstream Strontia, 85","Upstream Strontia, BR (low)","Upstream Strontia, BR (high)","Upstream Strontia, 2020","Upstream Strontia, 2021","Upstream Strontia, 2022","Roberts Tun, 15","Roberts Tun, 50","Roberts Tun, 85","Robert Tun, BR (low)","Roberts Tun, BR (high)","SP Below Chatfield, 15","SP Below Chatfield, 50","SP Below Chatfield, 85","SP Below Chatfield, BR (low) ","SP Below Chatfield, BR (high) ","SP Below Chatfield, 2020","SP Below Chatfield, 2021","SP Below Chatfield, 2022","MS Above Conf, 15","MS Above Conf, 50","MS Above Conf, 85","MS Above Conf, BR (low)","MS Above Conf, BR (high)","MS Above Conf, 2020","MS Above Conf, 2021","MS Above Conf, 2022","Nfork above Conf, 15","Nfork above Conf, 50","Nfork above Conf, 85","Nfork above Conf, BR (low)","Nfork above Conf, BR (high)","Nfork above Conf, 2020","Nfork above Conf, 2021","Nfork above Conf, 2022"
1,1,1,1.4,0,2.4,2,1,3,-0.1,0.1,0.8,0,0.8,0,0,0,2,0.7,0.7,1.3,2.7,4,2,1,2,5,1,2,1,-0.1,0.1,0,0,0,0,0,0,-0.1,0.1,0,0,0,0,0,0
2,3,1.4,0,1.6,6.3,1,0,0,1,1,0.8,0,1.8,0,2,0,2.9,0.1,0,3,3,5,1.4,1.8,3.6,6.8,4,5,4,2,2,1.4,0,3.4,0,0,0,-0.1,0.1,1,0,1,0,0,0
3,3,1.4,0.4,1.6,3.4,4,4,3,3,0.4,2.2,2,5.2,3,4,4,2.9,0.1,0,3,3,6,0.8,1.4,5.2,7.4,8,10,4,5,1.8,0,3.2,5,3,4,2,2,1.4,2.2,0,4.2,1,5,1
4,5,1,0.4,4,5.4,5,3,4,8,2,0.4,6,8.4,3,4,10,,,,3.5,3.5,10,1.95,2,8.05,12,11,9,10,8,1,1.4,7,9.4,5,5,7,7,1.4,1.4,5.6,8.4,4,4,7
5,10,1.8,1,8.2,11,8,10,10,10,1.95,0.95,8.05,10.95,8,9,9,3.9,0.1,0,4,4,13,1.65,0.65,11.35,13.65,14,15,16,10,2.6,2.6,7.4,12.6,8,9,9,9,2.8,1.8,6.2,10.8,9,9,8
6,15.5,2.45,0.5,13.05,16,13,13,13,14,4.1,3.1,9.9,17.1,11,16,#N/A,5.5,0.35,0.35,5.15,5.85,17,0.95,1,16.05,18,20,18,20,14,2.1,2.1,11.9,16.1,13,18,#N/A,12,1.1,1.1,10.9,13.1,11,15,#N/A
7,14.9,0.1,1.8,15,16.8,14,16,#N/A,12.9,0.1,1,13,14,12,12,#N/A,7,1,2.65,6,9.65,21,2.8,1,18.2,22,21,22,#N/A,13,0.8,1.8,12.2,14.8,16,12,#N/A,14,1.6,0,12.4,14,11,14,#N/A
8,15,1.95,0.95,13.05,15.95,13,14,#N/A,14,1,2,13,16,11,13,#N/A,5.9,0.1,1.1,6,7.1,21,0.4,1.2,20.6,22.2,23,22,#N/A,12,0.8,3.4,12.2,15.4,13,12,#N/A,14,1.4,2.2,12.6,16.2,10,11,#N/A
9,11.9,0.1,1.8,12,13.8,14,11,#N/A,11,0.4,2.4,10.6,13.4,9,8,#N/A,7.5,1.05,0.5,6,8,19,2.4,1.4,16.6,20.4,#N/A,19,#N/A,14,2.2,1.4,11.8,15.4,9,11,#N/A,12,2.4,0.4,9.6,12.4,5,8,#N/A
10,8.9,0.1,3,9,12,14,7,#N/A,9,4.8,3,4.2,12,0,3,#N/A,6.9,0.1,0,5.9,7,12.5,2.6,3.15,9.9,15.65,14,10,#N/A,12,6.8,1.8,5.2,13.8,0,6,#N/A,8,3.8,2,4.2,10,0,3,#N/A
11,3,1,1.8,2,4.8,4,5,#N/A,2,0.4,2.2,1.6,4.2,3,6,#N/A,6,0.7,0.7,5.3,6.7,7,0.7,0,6.3,7,#N/A,6,#N/A,1.9,0.1,0,2,2,0,7,#N/A,-0.1,0.1,0,0,0,0,6,#N/A
12,3,2,0,1,3,2,4,#N/A,-0.1,0.1,1.4,0,1.4,1,2,#N/A,3.9,0.1,0,4,4,4,1.8,0,2.2,4,4,5,#N/A,-0.1,0.1,2.4,0,2.4,1,3,#N/A,-0.1,0.1,1,0,1,1,0,#N/A
