Month,"Downstream Strontia, 15","Downstream Strontia, 50","Downstream Strontia, 85","Downstream Strontia, BR (low)","Downstream Strontia, BR (high)","Downstream Strontia, 2020","Downstream Strontia, 2021","Downstream Strontia, 2022","Upstream Strontia, 15","Upstream Strontia, 50","Upstream Strontia, 85","Upstream Strontia, BR (low)","Upstream Strontia, BR (high)","Upstream Strontia, 2020","Upstream Strontia, 2021","Upstream Strontia, 2022","Roberts Tun, 15","Roberts Tun, 50","Roberts Tun, 85","Robert Tun, BR (low)","Roberts Tun, BR (high)","SP Below Chatfield, 15","SP Below Chatfield, 50","SP Below Chatfield, 85","SP Below Chatfield, BR (low) ","SP Below Chatfield, BR (high) ","SP Below Chatfield, 2020","SP Below Chatfield, 2021","SP Below Chatfield, 2022","MS Above Conf, 15","MS Above Conf, 50","MS Above Conf, 85","MS Above Conf, BR (low)","MS Above Conf, BR (high)","MS Above Conf, 2020","MS Above Conf, 2021","MS Above Conf, 2022","Nfork above Conf, 15","Nfork above Conf, 50","Nfork above Conf, 85","Nfork above Conf, BR (low)","Nfork above Conf, BR (high)","Nfork above Conf, 2020","Nfork above Conf, 2021","Nfork above Conf, 2022"
1,2.6,0.54,0.24,2.06,2.84,2.9,2,#N/A,0.24,0.14,1.8,2.36,2.74,2.8,2.1,2.7,2.25,0.175,0.175,2.075,2.425,0.12,0.28,1.8,3.28,3.68,3.7,3.3,4.2,0.1,0,1.8,3,3,3.1,2.7,3.1,1.6,0.1,0,1.7,1.7,0.8,1.7,1
2,2.4,0.44,0.04,1.96,2.44,2.9,1.9,3,0.2,0.48,1.8,1.9,2.58,2.9,1.8,2.7,1.7,0.1,0,1.8,1.8,0.34,0.04,1.8,3.16,3.54,3.7,3.3,4.1,0.58,0,1.8,2.62,3.2,3.2,2.9,7.2,1.5,0.34,0.22,1.16,1.72,0.8,1.7,1
3,2.6,0.4,1.28,2.2,3.88,2.8,2,2.8,0.05,0.105,1.8,2.7,2.855,3.1,1.8,2.9,1.85,0.035,0.035,1.815,1.885,0.32,0.64,1.8,3.28,4.24,3.3,3.2,4,0.22,0.11,1.8,3.28,3.61,3.9,1.6,3.1,2.15,0.49,1.205,1.66,3.355,1.9,2.8,1.2
4,2.7,0.54,0.64,2.16,3.34,2.8,2.3,2.8,0.04,1.12,1.8,2.26,3.42,2.7,2.6,2.7,,,,0,0,0.29,0.48,1.8,2.91,3.68,3.2,3.6,4.1,0.16,0.5,1.8,2.84,3.5,3.3,3.3,3.2,1.8,0.1,1.46,1.7,3.26,1.6,2.3,2
5,3.3,0.9,1.98,2.4,5.28,3,4.9,2.8,1.48,1.77,1.8,2.72,5.97,3.4,4.5,2.9,1.6,0.1,0,1.7,1.7,0.88,0.905,1.8,3.17,4.955,3.6,4.4,4.1,0.18,1.62,1.8,3.02,4.82,3.4,4.3,3.4,3.8,1.44,4.12,2.36,7.92,3.4,5.1,2.6
6,3.5,0.98,1.82,2.52,5.32,3.6,4.4,#N/A,1.81,1.58,1.8,2.39,5.78,2.5,2.6,#N/A,1.8,0.1,0,1.9,1.9,0.745,1.9,1.8,3.405,6.05,3.6,4.4,#N/A,1.305,2.515,1.8,3.445,7.265,3.6,3.5,#N/A,3.55,1.37,2.47,2.18,6.02,2.2,2.4,#N/A
7,3,0.6,1.14,2.4,4.14,2.1,2.8,#N/A,0.94,1.04,1.8,2.36,4.34,2.6,3.6,#N/A,1.85,0.105,0.27,1.745,2.12,0.34,0.9,1.8,3.16,4.4,3.7,4.4,#N/A,0.4,0.76,1.8,3.3,4.46,3.5,3.2,#N/A,2.6,0.76,1.1,1.84,3.7,2.4,3.8,#N/A
8,2.9,0.195,1.662,2.705,4.562,2.7,2.9,#N/A,0.28,1.62,1.8,2.62,4.52,2.7,2.9,#N/A,1.9,0.1,0.21,1.8,2.11,0.08,0.524,1.8,3.12,3.724,3.3,4,#N/A,0.32,1.5,1.8,3.18,5,3.4,3.7,#N/A,2.4,0.48,0.56,1.92,2.96,2,2.4,#N/A
9,3.1,0.5,0.54,2.6,3.64,3.4,2.4,#N/A,0.32,0.5,1.8,2.68,3.5,3.3,2,#N/A,2,0.055,0.11,1.945,2.11,0.1,0.46,1.8,3.3,3.76,#N/A,3.5,#N/A,0.44,0.26,1.8,3.46,4.16,3.6,4.2,#N/A,2.1,0.32,0.12,1.78,2.22,1.4,1.9,#N/A
10,2.7,0.22,0.5,2.48,3.2,3.6,2.8,#N/A,0.38,0.64,1.8,2.22,3.24,2.5,2.3,#N/A,1.8,0.1,0,1.9,1.9,0.15,0.48,1.8,3.3,3.93,3.6,4,#N/A,0.1,0.58,1.8,3,3.68,3.3,3.4,#N/A,1.8,0.1,0.74,1.7,2.54,2.3,1.8,#N/A
11,2.4,0.34,0.38,2.06,2.78,2.3,2,#N/A,0.16,0.18,1.8,2.34,2.68,2.2,2,#N/A,2.2,0.14,0.14,2.06,2.34,0.21,0.07,1.8,3.29,3.57,#N/A,4.2,#N/A,0.1,0,1.8,3.3,3.3,2.9,3.2,#N/A,1.7,0.1,0,1.8,1.8,1.8,1.6,#N/A
12,2.6,0.6,0.14,2,2.74,2.1,2.7,#N/A,0.28,0.24,1.8,2.12,2.64,1.9,3,#N/A,1.7,0.1,0,1.8,1.8,0.14,0.3,1.8,3.26,3.7,3.4,3.8,#N/A,0.1,0.2,1.8,2.9,3.2,2.5,3.3,#N/A,1.5,0.18,0.18,1.32,1.68,1.7,1.2,#N/A
