Month,"Downstream Strontia, 15","Downstream Strontia, 50","Downstream Strontia, 85","Downstream Strontia, BR (low)","Downstream Strontia, BR (high)","Downstream Strontia, 2020","Downstream Strontia, 2021","Downstream Strontia, 2022","Upstream Strontia, 15","Upstream Strontia, 50","Upstream Strontia, 85","Upstream Strontia, BR (low)","Upstream Strontia, BR (high)","Upstream Strontia, 2020","Upstream Strontia, 2021","Upstream Strontia, 2022","Roberts Tun, 15","Roberts Tun, 50","Roberts Tun, 85","Robert Tun, BR (low)","Roberts Tun, BR (high)","SP Below Chatfield, 15","SP Below Chatfield, 50","SP Below Chatfield, 85","SP Below Chatfield, BR (low) ","SP Below Chatfield, BR (high) ","SP Below Chatfield, 2020","SP Below Chatfield, 2021","SP Below Chatfield, 2022","MS Above Conf, 15","MS Above Conf, 50","MS Above Conf, 85","MS Above Conf, BR (low)","MS Above Conf, BR (high)","MS Above Conf, 2020","MS Above Conf, 2021","MS Above Conf, 2022","Nfork above Conf, 15","Nfork above Conf, 50","Nfork above Conf, 85","Nfork above Conf, BR (low)","Nfork above Conf, BR (high)","Nfork above Conf, 2020","Nfork above Conf, 2021","Nfork above Conf, 2022"
1,1.3,0.14,2.46,1.16,3.76,1.5,2.3,1.1,1.3,0.3,0.78,1,2.08,0.85,1.2,1.4,0.74,0.063,0.063,0.677,0.803,3.3,0.52,0.62,2.78,3.92,2.6,1.4,2.1,1.2,0.1,0,1.3,1.3,0.63,0.7,1.2,0.87,0.1,0,0.97,0.97,0.62,1.1,0.98
2,1.5,0.348,0.8,1.152,2.3,1.4,1.5,1.1,2,0.24,0.64,1.76,2.64,1.4,1.2,1.3,0.69,0.1,0,0.79,0.79,3.3,1.44,0.28,1.86,3.58,2.2,1.6,2.2,0.94,0.2,0.6,0.74,1.54,0.79,2,1.4,3.5,1.528,2,1.972,5.5,2.5,2.1,1.8
3,1.8,0.22,0.76,1.58,2.56,2.1,1.8,2,3.4,1.04,0.72,2.36,4.12,2.9,1.7,2.1,0.57,0.021,0.021,0.549,0.591,2.8,0.84,2.06,1.96,4.86,3,2.9,2,2.7,1.14,2.02,1.56,4.72,3.5,1.7,2.1,4.4,2.26,2.72,2.14,7.12,3.5,0.97,3.1
4,2.5,0.825,0.875,1.675,3.375,1.8,2.5,1.1,2.9,0.96,8.7,1.94,11.6,1.4,2.3,3.4,,,,0.65,0.65,3.2,0.6,2.09,2.6,5.29,3.6,3.7,3.1,2.9,0.76,8.98,2.14,11.88,1.7,2.6,1.8,1.8,0.34,7.64,1.46,9.44,1.2,2.6,4
5,4.5,1.7,13.16,2.8,17.66,1.6,5,2.8,14.5,10.525,15,3.975,29.5,3.1,5.8,7.4,0.63,0.1,0,0.73,0.73,8.05,4.465,6.6,3.585,14.65,3.5,5.1,2.9,3.9,1.38,18.9,2.52,22.8,2.2,8,1.5,14,9.48,12.8,4.52,26.8,3.1,4.1,7.2
6,7.1,3.485,6.8,3.615,13.9,3.1,5,#N/A,11,5.37,18.3,5.63,29.3,5,3.8,#N/A,1.105,0.2765,0.2765,0.8285,1.3815,7.3,1.44,1.88,5.86,9.18,2.8,4.9,#N/A,3.9,2.585,9.295,1.315,13.195,0.91,1.7,#N/A,27,21.585,20.65,5.415,47.65,5.5,3.4,#N/A
7,7.7,3.28,19.1,4.42,26.8,2,2.3,#N/A,6.3,2.5,3.2,3.8,9.5,4.7,7.2,#N/A,0.93,0.1655,0.391,0.7645,1.32,7.8,3.38,2.88,4.42,10.68,6.8,15,#N/A,5.2,2.6,3.6,2.6,8.8,0.99,5,#N/A,7.4,3.72,4.4,3.68,11.8,5.6,7,#N/A
8,3.25,0.925,1.225,2.325,4.475,1.8,3.1,#N/A,2.8,0.6,1.16,2.2,3.96,1.9,4.8,#N/A,0.53,0.1185,0.3495,0.4115,0.8795,7.3,1.08,1.74,6.22,9.04,7.4,6.4,#N/A,3.3,0.72,1.76,2.58,5.06,2.6,2.2,#N/A,4.4,0.88,12.64,3.52,17.04,1.8,5.4,#N/A
9,2.6,0.5,0.7,2.1,3.3,2.2,2.3,#N/A,2.4,0.24,2.48,2.16,4.88,1.9,#N/A,#N/A,0.775,0.293,0.2765,0.482,1.0515,8.5,1.82,2.92,6.68,11.42,#N/A,12,#N/A,1.6,0.38,1.22,1.22,2.82,1.7,#N/A,#N/A,2.8,0.84,1.88,1.96,4.68,0.84,#N/A,#N/A
10,2.7,0.66,1.82,2.04,4.52,2.2,1.8,#N/A,2,0.28,3.26,1.72,5.26,1.4,2,#N/A,0.88,0.1,0,0.98,0.98,6.95,1.385,2.98,5.565,9.93,6.6,5.5,#N/A,1,0.374,0.78,0.626,1.78,0.79,1.2,#N/A,4.4,2.28,3.5,2.12,7.9,1.7,2.4,#N/A
11,1.9,0.46,0.5,1.44,2.4,1.5,1.6,#N/A,2,0.38,0.56,1.62,2.56,1.3,1.8,#N/A,1.1,0.35,0.35,0.75,1.45,3.2,0.07,0.91,3.13,4.11,#N/A,3.5,#N/A,4.7,0.1,0,4.8,4.8,0.47,0.83,#N/A,3.1,0.1,0,3.2,3.2,1.5,2,#N/A
12,1.9,0.54,0.1,1.36,2,1.3,1.9,#N/A,1.7,1.01,0.64,0.69,2.34,1.7,4.6,#N/A,1.3,0.1,0,1.4,1.4,2.5,0.36,1.9,2.14,4.4,1.6,4,#N/A,0.97,0.226,0.61,0.744,1.58,0.4,4.5,#N/A,1.4,0.622,1.66,0.778,3.06,1.5,1.2,#N/A
