Date ,Waterton Gage (cfs),"Temp Ch, C (high) ","Chatfield, Low Temp (C)","Waterton Gage, High Water Temp (C)","Waterton Gage, Low Water Temp (C)"
6/1/2012,47.4,27.8,10.0,19.65216,9.0487
6/2/2012,47.9,27.8,12.8,19.65216,10.716660000000001
6/3/2012,47.4,31.1,12.2,21.61797,10.35924
6/4/2012,45.4,32.2,17.2,22.27324,13.337739999999998
6/5/2012,45.3,28.3,16.7,19.95001,13.03989
6/6/2012,47.2,29.4,10.0,20.60528,9.0487
6/7/2012,48.8,26.7,13.3,18.99689,11.01451
6/8/2012,50.4,-17.8,-17.8,-7.511760000000001,-7.511760000000001
6/9/2012,49.2,-17.8,-17.8,-7.511760000000001,-7.511760000000001
6/10/2012,49.7,23.9,7.8,17.32893,7.738160000000001
6/11/2012,52.2,26.1,10.6,18.639470000000003,9.40612
6/12/2012,54.0,28.9,12.8,20.30743,10.716660000000001
6/13/2012,51.1,32.2,14.4,22.27324,11.66978
6/14/2012,50.6,28.9,14.4,20.30743,11.66978
6/15/2012,50.3,29.4,14.4,20.60528,11.66978
6/16/2012,51.9,26.1,14.4,18.639470000000003,11.66978
6/17/2012,49.1,35.6,18.9,24.29862,14.35043
6/18/2012,49.0,37.2,14.4,25.25174,11.66978
6/19/2012,49.6,35.0,10.6,23.9412,9.40612
6/20/2012,49.1,21.1,7.8,15.66097,7.738160000000001
6/21/2012,49.6,30.0,12.2,20.962699999999998,10.35924
6/22/2012,48.7,38.3,15.6,25.90701,12.38462
6/23/2012,48.9,38.3,20.0,25.90701,15.0057
6/24/2012,49.3,35.6,13.3,24.29862,11.01451
6/25/2012,50.2,37.8,20.6,25.60916,15.36312
6/26/2012,50.8,38.9,20.6,26.264429999999997,15.36312
6/27/2012,53.6,38.3,21.1,25.90701,15.66097
6/28/2012,52.5,34.4,18.3,23.583779999999997,13.99301
6/29/2012,53.1,34.4,18.3,23.583779999999997,13.99301
