SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS
232074,1/17/2013 12:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,7.77,ng/L
232208,1/28/2013 8:14,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,6.14,ng/L
233382,2/12/2013 9:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,6.1,ng/L
233624,2/20/2013 11:46,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,4.29,ng/L
233813,2/26/2013 9:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,3.6,ng/L
239571,5/28/2013 14:00,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2.14,ng/L
241734,7/2/2013 13:10,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
241735,7/9/2013 13:05,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
241736,7/16/2013 13:35,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
241737,7/23/2013 11:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,4.02,ng/L
241738,7/30/2013 12:52,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2.35,ng/L
254572,2/25/2014 13:35,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
256418,3/4/2014 11:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
256419,3/11/2014 13:40,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
256420,3/18/2014 13:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
256421,3/25/2014 10:52,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
258124,4/1/2014 11:05,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
258126,4/15/2014 13:10,PL-MAR-INF-A,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
258127,4/22/2014 14:07,PL-MAR-INF-A,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
258128,4/29/2014 12:30,PL-MAR-INF-A,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
260191,5/20/2014 9:30,PL-MAR-INF-A,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
260192,5/27/2014 12:14,PL-MAR-INF-A,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
262130,6/3/2014 13:25,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
262131,6/10/2014 14:40,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
264354,7/15/2014 13:50,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
264355,7/22/2014 13:50,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
264356,7/29/2014 13:55,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
266726,8/5/2014 13:35,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
266727,8/12/2014 14:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
269384,9/9/2014 13:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
269385,9/16/2014 13:30,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,3,ng/L
285593,3/10/2015 9:59,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
285594,3/17/2015 11:50,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
288313,4/21/2015 13:55,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
288314,4/28/2015 12:09,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
292019,5/5/2015 14:00,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
295960,6/2/2015 11:27,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
320199,12/1/2015 10:00,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,4,ng/L
324754,12/8/2015 7:47,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,4,ng/L
324755,12/15/2015 11:20,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
351379,7/12/2016 13:21,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,4,ng/L
351380,7/19/2016 14:20,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,14,ng/L
361264,7/22/2016 11:50,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,37,ng/L
361339,7/25/2016 7:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,46,ng/L
351381,7/26/2016 9:34,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,15,ng/L
361652,7/28/2016 7:50,PL-MAR-INF-A,MLOW MID,"Marston raw, 90 inch",Marston WTP,Geosmin,70,ng/L
361650,7/28/2016 7:55,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,17,ng/L
364210,8/2/2016 6:54,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
364212,8/2/2016 6:55,PL-MAR-INF-A,MLOW MID,"Marston raw, 90 inch",Marston WTP,Geosmin,7,ng/L
356713,8/2/2016 13:47,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
356714,8/9/2016 13:19,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
406341,5/9/2017 14:19,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
414722,6/6/2017 14:23,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
414723,6/13/2017 13:53,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
414724,6/20/2017 14:06,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,4,ng/L
414725,6/27/2017 14:19,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,3,ng/L
419603,7/5/2017 7:44,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
419604,7/11/2017 14:26,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,3,ng/L
419605,7/18/2017 14:33,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,5,ng/L
424607,8/15/2017 11:48,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1.17,ng/L
424608,8/22/2017 15:05,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1.17,ng/L
430970,9/5/2017 14:32,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1.37,ng/L
430973,9/26/2017 13:42,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
435989,10/3/2017 13:19,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
435990,10/10/2017 13:08,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,1,ng/L
435993,10/31/2017 14:04,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,4,ng/L
442718,11/7/2017 14:32,PL-MAR-INF,"Marston raw, 90 inch","Marston raw, 90 inch",Marston WTP,Geosmin,2,ng/L
