SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
712837,7/28/20 9:41,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,8,ng/L,,MLOWM,7/28/20,9:41:00
743919,7/31/20 7:59,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,29,ng/L,,MLOWM,7/31/20,7:59:00
730213,8/4/20 8:14,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,19,ng/L,,MLOWM,8/4/20,8:14:00
749245,8/7/20 8:14,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,37,ng/L,,MLOWM,8/7/20,8:14:00
730214,8/11/20 8:03,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,8/11/20,8:03:00
760675,8/14/20 10:05,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,8/14/20,10:05:00
730215,8/18/20 8:25,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,8/18/20,8:25:00
762935,8/21/20 8:06,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,9,ng/L,,MLOWM,8/21/20,8:06:00
730216,8/25/20 7:51,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3.52,ng/L,,MLOWM,8/25/20,7:51:00
746491,9/1/20 7:37,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,5.4,ng/L,,MLOWM,9/1/20,7:37:00
746492,9/8/20 8:46,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,5.2,ng/L,,MLOWM,9/8/20,8:46:00
746493,9/15/20 8:30,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,9/15/20,8:30:00
781744,9/18/20 8:10,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,21,ng/L,,MLOWM,9/18/20,8:10:00
746494,9/22/20 8:05,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,18,ng/L,,MLOWM,9/22/20,8:05:00
784241,9/24/20 8:07,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,21,ng/L,,MLOWM,9/24/20,8:07:00
769489,9/29/20 8:22,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,9/29/20,8:22:00
784290,10/2/20 8:07,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,9,ng/L,,MLOWM,10/2/20,8:07:00
771800,10/6/20 7:46,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,19,ng/L,,MLOWM,10/6/20,7:46:00
795577,10/9/20 8:59,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,16,ng/L,,MLOWM,10/9/20,8:59:00
771801,10/13/20 8:29,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,17,ng/L,,MLOWM,10/13/20,8:29:00
771802,10/20/20 8:56,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,15,ng/L,,MLOWM,10/20/20,8:56:00
804905,10/23/20 8:03,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,8,ng/L,,MLOWM,10/23/20,8:03:00
771803,10/27/20 7:30,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,8,ng/L,,MLOWM,10/27/20,7:30:00
789311,11/10/20 8:32,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,11/10/20,8:32:00
789312,11/17/20 8:13,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,14,ng/L,,MLOWM,11/17/20,8:13:00
789313,11/24/20 9:33,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3.4,ng/L,,MLOWM,11/24/20,9:33:00
789314,12/1/20 8:07,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,12/1/20,8:07:00
906463,6/29/21 7:37,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,6/29/21,7:37:00
943346,7/2/21 8:03,PL-MAR-MLOWM-A-5,,Marston WTP MLOW Mid,Marston WTP,Geosmin,27,ng/L,,MLOWM,7/2/21,8:03:00
925074,7/6/21 7:25,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,25,ng/L,,MLOWM,7/6/21,7:25:00
948735,7/8/21 9:00,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,7/8/21,9:00:00
925075,7/13/21 9:17,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,8,ng/L,,MLOWM,7/13/21,9:17:00
951349,7/15/21 8:59,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,7/15/21,8:59:00
925076,7/20/21 8:10,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,6.1,ng/L,,MLOWM,7/20/21,8:10:00
954531,7/23/21 8:15,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,3,ng/L,,MLOWM,7/23/21,8:15:00
925077,7/27/21 8:10,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,7/27/21,8:10:00
959784,7/30/21 7:04,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,7/30/21,7:04:00
942316,8/3/21 7:35,PL-MAR-MLOWM-A-9,,Marston WTP MLOW Mid,Marston WTP,Geosmin,16,ng/L,,MLOWM,8/3/21,7:35:00
966617,8/6/21 8:23,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,8/6/21,8:23:00
942317,8/10/21 7:55,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,10,ng/L,,MLOWM,8/10/21,7:55:00
970376,8/13/21 8:35,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,38,ng/L,,MLOWM,8/13/21,8:35:00
942318,8/17/21 8:10,PL-MAR-MLOWM-A-4,Collected at Tower,Marston WTP MLOW Mid,Marston WTP,Geosmin,11,ng/L,,MLOWM,8/17/21,8:10:00
973921,8/20/21 8:44,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,8/20/21,8:44:00
942319,8/24/21 7:55,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,8/24/21,7:55:00
976116,8/27/21 8:26,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,8/27/21,8:26:00
942320,8/30/21 8:17,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,14,ng/L,,MLOWM,8/30/21,8:17:00
983365,9/3/21 7:50,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,9/3/21,7:50:00
962486,9/7/21 7:58,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,9/7/21,7:58:00
986876,9/10/21 8:07,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,11,ng/L,,MLOWM,9/10/21,8:07:00
962487,9/14/21 8:20,PL-MAR-MLOWM-A-6,,Marston WTP MLOW Mid,Marston WTP,Geosmin,14,ng/L,,MLOWM,9/14/21,8:20:00
988993,9/16/21 8:15,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,9,ng/L,,MLOWM,9/16/21,8:15:00
962488,9/21/21 7:12,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,9/21/21,7:12:00
993215,9/23/21 8:11,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,5,ng/L,,MLOWM,9/23/21,8:11:00
962489,9/28/21 8:15,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,4,ng/L,,MLOWM,9/28/21,8:15:00
981462,10/5/21 8:03,PL-MAR-MLOWM-A-7,Marston Reservoir Tower,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,10/5/21,8:03:00
1003301,10/8/21 8:02,PL-MAR-MLOWM-A-7,,Marston WTP MLOW Mid,Marston WTP,Geosmin,7,ng/L,,MLOWM,10/8/21,8:02:00
981463,10/12/21 7:15,PL-MAR-MLOWM-A-6,,Marston WTP MLOW Mid,Marston WTP,Geosmin,13,ng/L,,MLOWM,10/12/21,7:15:00
1005599,10/14/21 8:18,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,15,ng/L,,MLOWM,10/14/21,8:18:00
981464,10/19/21 9:56,PL-MAR-MLOWM-A-6,,Marston WTP MLOW Mid,Marston WTP,Geosmin,15,ng/L,,MLOWM,10/19/21,9:56:00
1008026,10/21/21 8:32,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,13,ng/L,,MLOWM,10/21/21,8:32:00
981465,10/26/21 8:10,PL-MAR-MLOWM-A-5,,Marston WTP MLOW Mid,Marston WTP,Geosmin,14,ng/L,,MLOWM,10/26/21,8:10:00
1013428,10/28/21 8:30,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,9,ng/L,,MLOWM,10/28/21,8:30:00
1000271,11/2/21 7:09,PL-MAR-MLOWM-A-6,,Marston WTP MLOW Mid,Marston WTP,Geosmin,14,ng/L,,MLOWM,11/2/21,7:09:00
1018844,11/4/21 7:50,PL-MAR-MLOWM-A,,Marston WTP MLOW Mid,Marston WTP,Geosmin,13,ng/L,,MLOWM,11/4/21,7:50:00
1000272,11/9/21 8:34,PL-MAR-MLOWM,Marston WTP MLOW Mid,Marston WTP MLOW Mid,Marston WTP,Geosmin,12,ng/L,,MLOWM,11/9/21,8:34:00
1021898,11/12/21 7:32,PL-MAR-MLOWH-A-3,,Marston WTP MLOW High,Marston WTP,Geosmin,11,ng/L,,MLOWH,11/12/21,7:32:00
1021902,11/12/21 7:34,PL-MAR-MLOWM-A-6,,Marston WTP MLOW Mid,Marston WTP,Geosmin,11,ng/L,,MLOWM,11/12/21,7:34:00
1021900,11/12/21 7:36,PL-MAR-MLOWL-A-11,,Marston WTP MLOW Low,Marston WTP,Geosmin,11,ng/L,,MLOWL,11/12/21,7:36:00
1000273,11/16/21 7:05,PL-MAR-MLOWM-A-6,,Marston WTP MLOW Mid,Marston WTP,Geosmin,11,ng/L,,MLOWM,11/16/21,7:05:00
1025832,11/18/21 8:36,PL-MAR-MLOWM-A-4,,Marston WTP MLOW Mid,Marston WTP,Geosmin,6,ng/L,,MLOWM,11/18/21,8:36:00
